# eigenvalues
# kx ky  E
0 0 2.471472584971e-05
0 0 0.0021844651765699
0 1 0.0021707467320169
0 1 0.0021998858936995
0 2 0.0021832163379709
0 2 0.0022529167314924
0 3 0.0021707467314631
0 3 0.002199885896767
1 0 0.0021998858958225
1 0 0.0022349084488209
1 1 0.0021369588456885
1 1 0.0022797925279748
1 2 0.0021707467314736
1 2 0.0027736150350039
1 3 0.0021369588436605
1 3 0.0022797925256162
2 0 2.4714725849807e-05
2 0 0.0021844651740263
2 1 0.002170746731473
2 1 0.0021998858979151
2 2 0.0021832163371486
2 2 0.002252916731416
2 3 0.002170746731576
2 3 0.0021998858999013
3 0 0.0021998858886718
3 0 0.002234908450239
3 1 0.0021369588460763
3 1 0.0022797925285631
3 2 0.002170746731508
3 2 0.0027736150336225
3 3 0.002136958843378
3 3 0.0022797925276136
4 0 2.4714725849748e-05
4 0 0.0021844651710138
4 1 0.0021707467318857
4 1 0.0021998859023459
4 2 0.0021832163373543
4 2 0.0022529167266426
4 3 0.002170746731983
4 3 0.00219988589539
5 0 0.0021998858862274
5 0 0.0022349084444599
5 1 0.0021369588430628
5 1 0.0022797925318314
5 2 0.0021707467315563
5 2 0.0027736150311779
5 3 0.002136958847873
5 3 0.0022797925311188
