# eigenvalues
# kx ky  E
0 0 9.9709763427656e-08
0 0 0.00014110462076896
0 1 0.00014103195064312
0 1 0.00014336652035958
0 2 0.00014336091552737
0 2 0.00014692772820821
0 3 0.00014103195058624
0 3 0.00014336652023734
1 0 0.0001411066361546
1 0 0.00014449118504693
1 1 0.000138657198683
1 1 0.00013923299109276
1 2 0.00014168238633037
1 2 0.00018369266687392
1 3 0.00013865719808009
1 3 0.00013923299169341
2 0 9.9709763427586e-08
2 0 0.00014110462065482
2 1 0.00014103195056498
2 1 0.00014336652029136
2 2 0.00014336091519418
2 2 0.00014692772786914
2 3 0.00014103195056678
2 3 0.00014336652037975
3 0 0.000141106636104
3 0 0.00014449118531412
3 1 0.00013865719861545
3 1 0.00013923299161247
3 2 0.00014168238633006
3 2 0.00018369266742291
3 3 0.00013865719809764
3 3 0.0001392329920184
4 0 9.9709763425947e-08
4 0 0.00014110462049186
4 1 0.00014103195059587
4 1 0.00014336652048732
4 2 0.00014336091594417
4 2 0.00014692772754535
4 3 0.00014103195060101
4 3 0.00014336652057307
5 0 0.00014110663610566
5 0 0.00014449118530088
5 1 0.00013865719791073
5 1 0.00013923299159636
5 2 0.00014168238633092
5 2 0.00018369266680574
5 3 0.00013865719814818
5 3 0.00013923299181042
