Np,UCarea,twist,t2,aniso,gap
8,24,0.0,1.0,0.8,1.2062821344333452
8,24,0.0,1.0,0.88,1.215649734421234
8,24,0.0,1.0,0.9,1.2195396365478715
8,24,0.0,1.0,0.92,1.2183116709962851
8,24,0.0,1.0,0.98,1.2158338021702015
8,24,0.0,1.0,1.02,1.2158423368816007
8,24,0.0,1.0,1.04,1.2157834704077324
8,24,0.0,1.0,1.06,1.2164248143302119
8,24,0.0,1.0,1.08,1.2177177469099998
8,24,0.0,1.0,1.1,1.2196162023202541
8,24,0.0,1.0,1.12,1.2180972414432372
8,24,0.0,1.0,1.22,1.207438971867151
8,24,0.0,1.0,1.24,1.206561446138741
8,24,0.0,1.0,1.26,1.2061095400138344
8,24,0.0,1.0,1.28,1.2060857189542955
8,24,0.0,1.0,1.3,1.2064921457903173
8,24,0.0,1.0,1.32,1.2073307271704417
8,24,0.0,1.0,1.34,1.2086031569575124
8,24,0.0,1.0,1.36,1.210310939660154
8,24,0.0,1.0,1.38,1.2124554322185914
8,24,0.0,1.0,1.4,1.2150378672233104
8,24,0.0,1.0,1.42,1.2180593780806808
8,24,0.0,1.0,1.44,1.221521037575331
8,24,0.0,1.0,1.46,1.2254238565121918
8,24,0.0,1.0,1.48,1.229768807806485
8,24,0.0,1.0,1.5,1.2345568488153642
8,54,0.0,1.0,0.8,1.2512736139479015
8,54,0.0,1.0,0.88,1.2621185616415809
8,54,0.0,1.0,0.9,1.2664398298300459
8,54,0.0,1.0,0.92,1.2637104868642268
8,54,0.0,1.0,0.98,1.2610474108532306
8,54,0.0,1.0,1.02,1.261056797180775
8,54,0.0,1.0,1.04,1.260986293075251
8,54,0.0,1.0,1.06,1.261674685894488
8,54,0.0,1.0,1.08,1.2630691812714454
8,54,0.0,1.0,1.1,1.265119816461361
8,54,0.0,1.0,1.12,1.2648412728498308
8,54,0.0,1.0,1.22,1.2527474257569708
8,54,0.0,1.0,1.24,1.2516528130011841
8,54,0.0,1.0,1.26,1.2510069175758862
8,54,0.0,1.0,1.28,1.2508121587631
8,54,0.0,1.0,1.3,1.2510706875930842
8,54,0.0,1.0,1.32,1.251784435143066
8,54,0.0,1.0,1.34,1.252955162243267
8,54,0.0,1.0,1.36,1.2545844810984386
8,54,0.0,1.0,1.38,1.2566738994077158
8,54,0.0,1.0,1.4,1.2592248463571427
8,54,0.0,1.0,1.42,1.262238689262252
8,54,0.0,1.0,1.44,1.2657167723339262
8,54,0.0,1.0,1.46,1.2696604122471957
8,54,0.0,1.0,1.48,1.2740709280504106
8,54,0.0,1.0,1.5,1.2789496559583484
8,96,0.0,1.0,0.8,1.2672563274811954
8,96,0.0,1.0,0.88,1.2787215556979248
8,96,0.0,1.0,0.9,1.2826496035984603
8,96,0.0,1.0,0.92,1.279752172396929
8,96,0.0,1.0,0.98,1.2770070427120024
8,96,0.0,1.0,1.02,1.2770166649526882
8,96,0.0,1.0,1.04,1.2769458107655385
8,96,0.0,1.0,1.06,1.2776556505532322
8,96,0.0,1.0,1.08,1.2790918652614849
8,96,0.0,1.0,1.1,1.2812030567629802
8,96,0.0,1.0,1.12,1.2815535424530518
8,96,0.0,1.0,1.22,1.2688700574695007
8,96,0.0,1.0,1.24,1.2676802486146221
8,96,0.0,1.0,1.26,1.2669468479772135
8,96,0.0,1.0,1.28,1.2666723820333419
8,96,0.0,1.0,1.3,1.2668590763276033
8,96,0.0,1.0,1.32,1.267508945997719
8,96,0.0,1.0,1.34,1.2686238535166219
8,96,0.0,1.0,1.36,1.2702055216925052
8,96,0.0,1.0,1.38,1.2722555779516451
8,96,0.0,1.0,1.4,1.2747755829110408
8,96,0.0,1.0,1.42,1.2777670465442426
8,96,0.0,1.0,1.44,1.281231459482373
8,96,0.0,1.0,1.46,1.2851703007612594
8,96,0.0,1.0,1.48,1.28958506647314
8,96,0.0,1.0,1.5,1.2944772686364976
