# eigenvalues
# kx ky  E
0 0 0.019410791335718
0 0 0.043628289702202
0 0 0.045501412842259
0 1 0.046283877003799
0 1 0.04645121128955
0 1 0.047465886602076
0 2 0.042358847635352
0 2 0.042387435166121
0 2 0.042489315379928
0 3 0.046283876826206
0 3 0.046451207280942
0 3 0.047465888408671
1 0 0.047465886300961
1 0 0.048252987083007
1 0 0.048632211826196
1 1 0.045442636967368
1 1 0.045453390506991
1 1 0.049329384191845
1 2 0.04628387681624
1 2 0.046451206983948
1 2 0.052753059052949
1 3 0.045442634950789
1 3 0.045453390857715
1 3 0.049329384188147
2 0 0.019410791335718
2 0 0.043628288407691
2 0 0.045501812745426
2 1 0.0462838787255
2 1 0.046451207116298
2 1 0.047465889877068
2 2 0.042358845996321
2 2 0.042387436592513
2 2 0.042489316836631
2 3 0.046283876820519
2 3 0.046451207060868
2 3 0.047465888147915
3 0 0.047465885997651
3 0 0.048252987164627
3 0 0.048632209541822
3 1 0.045442636383782
3 1 0.045453391972404
3 1 0.049329384188807
3 2 0.046283876925875
3 2 0.046451207026693
3 2 0.052753061796398
3 3 0.045442637685077
3 3 0.045453388997381
3 3 0.049329384188502
4 0 0.019410791335719
4 0 0.04362828894938
4 0 0.045502435744947
4 1 0.046283879643156
4 1 0.046451206976094
4 1 0.04746588591013
4 2 0.042358846011043
4 2 0.04238743504628
4 2 0.042489317213494
4 3 0.046283876815766
4 3 0.046451207044693
4 3 0.047465889291776
5 0 0.04746588620903
5 0 0.048252986865223
5 0 0.048632214246273
5 1 0.045442636724216
5 1 0.045453390927007
5 1 0.049329384188459
5 2 0.046283876816163
5 2 0.046451206985719
5 2 0.052753060194532
5 3 0.045442636232674
5 3 0.045453391465942
5 3 0.049329384188188
