# eigenvalues
# kx ky  E
0 0 0.003540400932353
0 0 0.0037365656867571
1 0 0.003613864497311
1 0 0.003888839216416
2 0 0.0037365537221514
2 0 0.0041195805663254
3 0 5.8150114175638e-05
3 0 0.0035404179903487
4 0 0.0037365537658132
4 0 0.0041195805293419
5 0 0.0036138644976457
5 0 0.0038888391475549
6 0 0.0035404009613445
6 0 0.0037365657326981
7 0 0.0036138645179003
7 0 0.0038888392149951
8 0 0.0037365538530363
8 0 0.0041195803579388
9 0 5.8150114175767e-05
9 0 0.0035404180803556
10 0 0.0037365538558756
10 0 0.0041195804225069
11 0 0.0036138644989766
11 0 0.0038888392459962
12 0 0.0035404009329311
12 0 0.0037365657611683
13 0 0.0036138645000236
13 0 0.0038888392053603
14 0 0.0037365537909032
14 0 0.0041195804160781
15 0 5.8150114175627e-05
15 0 0.0035404180152593
16 0 0.0037365539102104
16 0 0.0041195804393593
17 0 0.0036138644975976
17 0 0.0038888391443657
