# eigenvalues
# kx ky  E
0 0 0.0021844651726536
0 0 0.0021899266920671
1 0 0.0021369588441325
1 0 0.0021707467439543
2 0 0.0021707467370955
2 0 0.0021832163420774
3 0 0.0021369588424689
3 0 0.0022349084458533
4 0 2.4714725849824e-05
4 0 0.0021844651691453
5 0 0.0021369588428136
5 0 0.0022349084537616
6 0 0.0021707467339187
6 0 0.0021832163455854
7 0 0.0021369588436152
7 0 0.0021707467495662
8 0 0.0021844651816317
8 0 0.0021899266863928
9 0 0.0021369588434838
9 0 0.0021707467467759
10 0 0.0021707467352737
10 0 0.0021832163420144
11 0 0.0021369588432253
11 0 0.0022349084491917
12 0 2.4714725849798e-05
12 0 0.0021844651768841
13 0 0.0021369588453538
13 0 0.0022349084530274
14 0 0.002170746734267
14 0 0.0021832163418607
15 0 0.0021369588423925
15 0 0.002170746742315
16 0 0.0021844651642865
16 0 0.0021899266956589
17 0 0.0021369588436367
17 0 0.0021707467452918
18 0 0.0021707467324086
18 0 0.0021832163460803
19 0 0.0021369588425712
19 0 0.0022349084423021
20 0 2.4714725849843e-05
20 0 0.0021844651739059
21 0 0.0021369588426952
21 0 0.002234908448571
22 0 0.0021707467429093
22 0 0.0021832163447011
23 0 0.0021369588424482
23 0 0.0021707467483359
