# eigenvalues
# kx ky  E
0 0 -14.984539591119
0 0 -14.984534129583
1 0 -14.984587097447
1 0 -14.984553309561
2 0 -14.984553309551
2 0 -14.984540839952
3 0 -14.98458709744
3 0 -14.984489147869
4 0 -14.986699341586
4 0 -14.984539591106
5 0 -14.984587097437
5 0 -14.984489147845
6 0 -14.984553309549
6 0 -14.984540839963
7 0 -14.984587097435
7 0 -14.984553309544
8 0 -14.984539591128
8 0 -14.984534129586
9 0 -14.984587097429
9 0 -14.984553309547
10 0 -14.984553309551
10 0 -14.984540839951
11 0 -14.984587097445
11 0 -14.984489147849
12 0 -14.986699341553
12 0 -14.984539591102
13 0 -14.984587097433
13 0 -14.984489147851
14 0 -14.984553309548
14 0 -14.984540839937
15 0 -14.984587097428
15 0 -14.984553309551
16 0 -14.984539591129
16 0 -14.984534129601
17 0 -14.984587097423
17 0 -14.984553309542
18 0 -14.984553309547
18 0 -14.984540839941
19 0 -14.984587097438
19 0 -14.984489147861
20 0 -14.986699341556
20 0 -14.984539591137
21 0 -14.98458709744
21 0 -14.984489147845
22 0 -14.984553309546
22 0 -14.984540839944
23 0 -14.984587097449
23 0 -14.984553309554
