# eigenvalues
# kx ky  E
0 0 1.9577847100391e-12
0 0 0.0001547346219603
0 1 1.9101689020958e-12
0 1 0.0001547346219824
0 2 1.907694182844e-12
0 2 0.00015473462197764
0 3 1.9235934559137e-12
0 3 0.00015473462198492
0 4 1.9162851387501e-12
0 4 0.00015473462198419
0 5 1.9297847272613e-12
0 5 0.00015473462197449
0 6 1.9369350520365e-12
0 6 0.00015473462198061
0 7 1.9495781817999e-12
0 7 0.00015473462196709
1 0 1.9454669293544e-12
1 0 0.00015473462197744
1 1 1.9272182113151e-12
1 1 0.00015473462198283
1 2 1.9705470891801e-12
1 2 0.00015473462198865
1 3 1.9615703993023e-12
1 3 0.00015473462198367
1 4 1.9580659321713e-12
1 4 0.0001547346219806
1 5 1.9567260009789e-12
1 5 0.00015473462198784
1 6 1.9160195477486e-12
1 6 0.00015473462199489
1 7 1.9432314756395e-12
1 7 0.00015473462197694
2 0 1.9830548557841e-12
2 0 0.00015473462199179
2 1 1.9872506497206e-12
2 1 0.00015473462198911
2 2 1.9633605653154e-12
2 2 0.00015473462198795
2 3 1.984233768463e-12
2 3 0.00015473462199149
2 4 1.9918013445442e-12
2 4 0.00015473462198609
2 5 1.9627205700687e-12
2 5 0.00015473462198833
2 6 1.9549752136719e-12
2 6 0.00015473462198979
2 7 1.9520231453256e-12
2 7 0.00015473462199596
