# eigenvalues
# kx ky  E
0 0 -4.1284222003611
0 0 -4.0939120374874
0 0 -4.060056785094
0 0 -3.9711124649261
0 0 -3.9067934909108
0 0 -3.8803234853828
0 0 -3.8187908982052
0 0 -3.7923024232913
0 0 -3.781683147396
0 0 -3.7728868954429
0 0 -3.7644298489427
0 0 -3.7565393615455
0 1 -4.0133239218218
0 1 -3.9841672923413
0 1 -3.9590673515675
0 1 -3.8818773208922
0 1 -3.871906983905
0 1 -3.8432785284965
0 1 -3.7800624873313
0 1 -3.7683853670957
0 1 -3.7628314730689
0 2 -4.0133239218218
0 2 -3.9841672923413
0 2 -3.9590673515675
0 2 -3.8818773208922
0 2 -3.871906983905
0 2 -3.8432785284965
0 2 -3.7800624873313
0 2 -3.7683853670957
0 2 -3.7628314730689
1 0 -4.0133239218218
1 0 -3.9841672923413
1 0 -3.9590673515675
1 0 -3.8818773208922
1 0 -3.871906983905
1 0 -3.8432785284965
1 0 -3.7800624873313
1 0 -3.7683853670957
1 0 -3.7628314730689
1 1 -4.0606341781159
1 1 -4.024192606546
1 1 -4.0131184696479
1 1 -3.9305197142131
1 1 -3.9081091213296
1 1 -3.9033259982246
1 1 -3.8242333400591
1 1 -3.7922135012607
1 1 -3.7696319025613
1 2 -4.0606341781159
1 2 -4.024192606546
1 2 -4.0131184696479
1 2 -3.9305197142131
1 2 -3.9081091213296
1 2 -3.9033259982246
1 2 -3.8242333400591
1 2 -3.7922135012607
1 2 -3.7696319025613
2 0 -4.0133239218218
2 0 -3.9841672923413
2 0 -3.9590673515675
2 0 -3.8818773208922
2 0 -3.871906983905
2 0 -3.8432785284965
2 0 -3.7800624873313
2 0 -3.7683853670957
2 0 -3.7628314730689
2 1 -4.0606341781159
2 1 -4.024192606546
2 1 -4.0131184696479
2 1 -3.9305197142131
2 1 -3.9081091213296
2 1 -3.9033259982246
2 1 -3.8242333400591
2 1 -3.7922135012607
2 1 -3.7696319025613
2 2 -4.0606341781159
2 2 -4.024192606546
2 2 -4.0131184696479
2 2 -3.9305197142131
2 2 -3.9081091213296
2 2 -3.9033259982246
2 2 -3.8242333400591
2 2 -3.7922135012607
2 2 -3.7696319025613
