# eigenvalues
# kx ky  E
0 0 0.0058461239861581
0 0 0.032999136495166
0 1 0.033572721360078
0 1 0.033639588563381
0 2 0.032305389046186
0 2 0.032321075089581
0 3 0.033601661133357
0 3 0.033611007695412
1 0 0.034772934163833
1 0 0.034828098006974
1 1 0.033067655333235
1 1 0.035627794979904
1 2 0.033569739293785
1 2 0.033630123247526
1 3 0.033069314878828
1 3 0.035627983604221
2 0 0.005846123986159
2 0 0.032999136553787
2 1 0.033572718425723
2 1 0.033639567561957
2 2 0.032308847132782
2 2 0.032340293322494
2 3 0.033601661116121
2 3 0.033611008609577
3 0 0.03477293412771
3 0 0.034828098304646
3 1 0.033068891666089
3 1 0.035627793611587
3 2 0.033569738419915
3 2 0.033630124173062
3 3 0.033069102052651
3 3 0.035627984325469
4 0 0.0058461239861602
4 0 0.032999131633421
4 1 0.033572719482342
4 1 0.033639568311282
4 2 0.032306511749037
4 2 0.032347851672241
4 3 0.033601662559193
4 3 0.033611006540368
5 0 0.034772935819236
5 0 0.034828096835288
5 1 0.033069644833149
5 1 0.035627799519486
5 2 0.033569739793945
5 2 0.033630123176967
5 3 0.033069187962966
5 3 0.035627984316959
