# eigenvalues
# kx ky  E
0 0 0.0058343883160074
0 0 0.032992570295079
0 1 0.033565392776318
0 1 0.033625773502256
0 2 0.032309572231114
0 2 0.032338852537222
0 3 0.033565372310729
0 3 0.033625761162944
1 0 0.034759063096844
1 0 0.0348211204596
1 1 0.033060245574872
1 1 0.035618444448887
1 2 0.033565373972991
1 2 0.033625760377127
1 3 0.03306036472549
1 3 0.035618447637916
2 0 0.0058343883160077
2 0 0.032992586499658
2 1 0.033565374541962
2 1 0.033625759097819
2 2 0.032307764079494
2 2 0.032337705034243
2 3 0.033565373323903
2 3 0.033625758999004
3 0 0.034759064092962
3 0 0.034821119861489
3 1 0.033060198571343
3 1 0.035618447428234
3 2 0.033565373683684
3 2 0.033625758552071
3 3 0.033060365952977
3 3 0.035618444673845
4 0 0.0058343883160079
4 0 0.032992584634472
4 1 0.033565372606904
4 1 0.033625760317132
4 2 0.032308811174676
4 2 0.032325390979802
4 3 0.033565371831354
4 3 0.033625760838729
5 0 0.034759063079676
5 0 0.034821119657917
5 1 0.033060388456476
5 1 0.035618447091532
5 2 0.033565374069544
5 2 0.033625759245104
5 3 0.033060253528574
5 3 0.035618444081856
