# eigenvalues
# kx ky  E
0 0 2.4089179620084e-06
0 0 0.00044457991727561
0 1 0.00044205593132345
0 1 0.00044877991696604
0 2 0.00044423138677494
0 2 0.00045881413334704
0 3 0.00044205593141753
0 3 0.00044877991618291
1 0 0.00044877991447311
1 0 0.00045505729327399
1 1 0.00043546193463738
1 1 0.00046465250387993
1 2 0.00044205593131961
1 2 0.00056554087381461
1 3 0.00043546193343365
1 3 0.00046465250222686
2 0 2.4089179620334e-06
2 0 0.00044457991772261
2 1 0.00044205593132981
2 1 0.0004487799165393
2 2 0.00044423138741927
2 2 0.00045881413366172
2 3 0.00044205593139438
2 3 0.0004487799164026
3 0 0.00044877991359676
3 0 0.00045505729275014
3 1 0.00043546193348551
3 1 0.00046465250418027
3 2 0.00044205593132209
3 2 0.00056554087491755
3 3 0.00043546193461373
3 3 0.00046465250308501
4 0 2.4089179620143e-06
4 0 0.00044457991692559
4 1 0.00044205593133558
4 1 0.00044877991588334
4 2 0.00044423138725038
4 2 0.00045881413344806
4 3 0.00044205593134477
4 3 0.00044877991558901
5 0 0.00044877991342824
5 0 0.00045505729275338
5 1 0.00043546193370643
5 1 0.00046465250307976
5 2 0.00044205593131843
5 2 0.00056554087357565
5 3 0.00043546193342011
5 3 0.00046465250261284
