# eigenvalues
# kx ky  E
0 0 0.15855393176244
0 0 0.28681402518745
0 1 0.26873264599428
0 1 0.33141363452883
0 2 0.29529629296682
0 2 0.31054832136172
0 3 0.26231965134059
0 3 0.30952549926962
0 4 0.29529629296682
0 4 0.31054832187596
0 5 0.26873264599428
0 5 0.33141363304249
1 0 0.30454099201744
1 0 0.32109510719114
1 1 0.22389284736899
1 1 0.32676688673227
1 2 0.29254736016479
1 2 0.30429149742157
1 3 0.26642894796472
1 3 0.29999281958335
1 4 0.29254736031606
1 4 0.30429149742523
1 5 0.22389284736898
1 5 0.3267668920891
2 0 0.31547164255785
2 0 0.3373359630353
2 1 0.29721580840173
2 1 0.33874889795576
2 2 0.26196705645467
2 2 0.32757208049501
2 3 0.30208655474429
2 3 0.37193474949829
2 4 0.26196705645464
2 4 0.3275720797237
2 5 0.29721580840011
2 5 0.33874889607443
3 0 0.30454099200017
3 0 0.32109510771019
3 1 0.22389284736898
3 1 0.32676688690669
3 2 0.29254736077472
3 2 0.3042914973149
3 3 0.26642894792368
3 3 0.29999282058502
3 4 0.29254736026813
3 4 0.30429149830935
3 5 0.22389284736898
3 5 0.32676688712204
