# eigenvalues
# kx ky  E
0 0 0.019630499067467
0 0 0.043784284742042
0 1 0.047666307421034
0 1 0.047667955738536
0 2 0.019630499067466
0 2 0.043784286372163
0 3 0.047666307756366
0 3 0.047667955460594
0 4 0.019630499067466
0 4 0.043784285934886
0 5 0.047666307487341
0 5 0.047667955645486
1 0 0.046444739339297
1 0 0.046613523599904
1 1 0.045612870135634
1 1 0.045637631655875
1 2 0.046444739453979
1 2 0.046613523398634
1 3 0.045612938405818
1 3 0.045641817174881
1 4 0.046444739226574
1 4 0.046613523494089
1 5 0.04561289805554
1 5 0.045638696133947
2 0 0.04246544998483
2 0 0.042555801537523
2 1 0.046469375686745
2 1 0.046549758043526
2 2 0.042465449972483
2 2 0.042555801663137
2 3 0.046469375908266
2 3 0.046549758074372
2 4 0.042465449979631
2 4 0.042555801644767
2 5 0.046469375681641
2 5 0.04654975811374
3 0 0.046444739417958
3 0 0.046613523399221
3 1 0.04561287302983
3 1 0.045638757779781
3 2 0.046444739229346
3 2 0.046613523423542
3 3 0.045612869183905
3 3 0.045638696504904
3 4 0.046444739483614
3 4 0.046613523299406
3 5 0.045612867984824
3 5 0.045637317277366
