# eigenvalues
# kx ky  E
0 0 0.0058405847168045
0 0 0.032996033246793
0 1 0.034767749278037
0 1 0.034825366221097
0 2 0.0058405847168049
0 2 0.03299603267883
0 3 0.034768238418758
0 3 0.034821708212708
0 4 0.0058405847168045
0 4 0.032996032519969
0 5 0.034767199313046
0 5 0.034824091200118
1 0 0.033567671434719
1 0 0.033628069497248
1 1 0.033062928172446
1 1 0.033065470530067
1 2 0.033567671412394
1 2 0.033628069532901
1 3 0.033065171989234
1 3 0.035623389741756
1 4 0.033567671395646
1 4 0.033628069519803
1 5 0.033064848418276
1 5 0.035623404411076
2 0 0.032304508784865
2 0 0.032319487665201
2 1 0.033565342941001
2 1 0.033587731601239
2 2 0.03230450879587
2 2 0.032319487732791
2 3 0.033565342849795
2 3 0.033587731348875
2 4 0.032304508773175
2 4 0.032319487701813
2 5 0.033565343346267
2 5 0.03358773153977
3 0 0.033567671626883
3 0 0.03362806955626
3 1 0.033062910479164
3 1 0.033065228031175
3 2 0.033567671555736
3 2 0.033628069311712
3 3 0.033062941038305
3 3 0.033065255944741
3 4 0.033567671552977
3 4 0.033628069559312
3 5 0.033065262595641
3 5 0.03562339288825
