# eigenvalues
# kx ky  E
0 0 0.016262632964946
0 0 0.041064815242724
0 1 0.043278090199719
0 1 0.043432506972541
0 2 0.039840893867021
0 2 0.039929550882244
0 3 0.043278090087302
0 3 0.043432509193978
1 0 0.044515312500436
1 0 0.045090621961567
1 1 0.042561704880961
1 1 0.046169066209021
1 2 0.043278090209073
1 2 0.043432508694666
1 3 0.042555032645879
1 3 0.042563430294872
2 0 0.016262632964947
2 0 0.0410648098681
2 1 0.043278089864172
2 1 0.043432510044729
2 2 0.039844592137519
2 2 0.039930400902415
2 3 0.043278088322493
2 3 0.043432508757021
3 0 0.044515313787382
3 0 0.045090620979672
3 1 0.042555032417716
3 1 0.042563430120855
3 2 0.043278089651638
3 2 0.043432507484846
3 3 0.042555034396566
3 3 0.04256342826705
4 0 0.016262632964947
4 0 0.041064815767183
4 1 0.04327808946557
4 1 0.043432510100109
4 2 0.039838416742982
4 2 0.039930028216741
4 3 0.043278089728159
4 3 0.043432509252486
5 0 0.044515311102147
5 0 0.045090621290826
5 1 0.042555035109011
5 1 0.042563430612846
5 2 0.043278089532495
5 2 0.043432509557906
5 3 0.042555034625334
5 3 0.04256342956164
