# eigenvalues
# kx ky  E
0 0 0.019410791335718
0 0 0.043628291874143
0 1 0.046283877003799
0 1 0.04645121128955
0 2 0.042358847635352
0 2 0.042387435166121
0 3 0.046283877023729
0 3 0.046451209681755
1 0 0.047465886300961
1 0 0.048252987083007
1 1 0.045442636967368
1 1 0.045453390506991
1 2 0.046283879228819
1 2 0.046451208466889
1 3 0.045442634950789
1 3 0.045453390857715
2 0 0.019410791335718
2 0 0.043628297498136
2 1 0.046283880751031
2 1 0.046451207264647
2 2 0.042359028710233
2 2 0.042502775193369
2 3 0.046283877263449
2 3 0.046451209021805
3 0 0.047465885997651
3 0 0.048252987164627
3 1 0.045442636383782
3 1 0.045453391972404
3 2 0.046283879240888
3 2 0.046451207983086
3 3 0.045442637685077
3 3 0.045453388997381
4 0 0.019410791335718
4 0 0.043628292856871
4 1 0.046283879643156
4 1 0.046451206976094
4 2 0.042358846412083
4 2 0.042387437453171
4 3 0.046283877364441
4 3 0.04645120965621
5 0 0.04746588620903
5 0 0.048252986865223
5 1 0.045442636724216
5 1 0.045453390927007
5 2 0.046283879118858
5 2 0.046451208675342
5 3 0.045442636232674
5 3 0.045453391465942
