# eigenvalues
# kx ky  E
0 0 4.5963550215359e-05
0 0 0.0021948665465934
0 1 0.0021865448938689
0 1 0.0022412627984957
0 2 0.0021728942279026
0 2 0.0022720312345085
0 3 0.0021865448938619
0 3 0.0022412627960938
1 0 0.0022412627846995
1 0 0.0022548151943488
1 1 0.0021587637542542
1 1 0.0023085715283112
1 2 0.0021865448939394
1 2 0.0027835055545991
1 3 0.0021587637562998
1 3 0.0023085715287577
2 0 4.5963550215258e-05
2 0 0.0021948665385867
2 1 0.0021865448938719
2 1 0.0022412627951844
2 2 0.0021728942282976
2 2 0.0022720312387338
2 3 0.0021865448938669
2 3 0.0022412628013806
3 0 0.0022412627850334
3 0 0.0022548151978534
3 1 0.0021587637585713
3 1 0.0023085715342522
3 2 0.0021865448939383
3 2 0.0027835055698843
3 3 0.0021587637593497
3 3 0.0023085715263038
4 0 4.5963550215373e-05
4 0 0.0021948665396298
4 1 0.0021865448938825
4 1 0.0022412627969335
4 2 0.0021728942217696
4 2 0.002272031236779
4 3 0.0021865448939312
4 3 0.0022412627964296
5 0 0.0022412627839757
5 0 0.0022548152004111
5 1 0.0021587637575986
5 1 0.0023085715324334
5 2 0.002186544893906
5 2 0.00278350556179
5 3 0.0021587637553653
5 3 0.0023085715288983
