# eigenvalues
# kx ky  E
0 0 6.7066372964811e-05
0 0 0.0022105897975299
0 1 0.0022047690611213
0 1 0.0022718699433873
0 2 0.0021770695260561
0 2 0.0022924266882632
0 3 0.0022047690611291
0 3 0.0022718700160846
1 0 0.0022718699087882
1 0 0.0022758186652866
1 1 0.0021791642323968
1 1 0.0023335689164623
1 2 0.0022047690611612
1 2 0.002798384378911
1 3 0.0021791642343007
1 3 0.0023335689364679
2 0 6.7066372964756e-05
2 0 0.0022105898385532
2 1 0.0022047690611513
2 1 0.0022718699280043
2 2 0.0021770695329307
2 2 0.0022924266513408
2 3 0.002204769061122
2 3 0.0022718699925948
3 0 0.0022718698913367
3 0 0.0022758186918098
3 1 0.0021791642349239
3 1 0.0023335689388688
3 2 0.0022047690619272
3 2 0.0027983844374682
3 3 0.0021791642507898
3 3 0.0023335689510483
4 0 6.7066372964774e-05
4 0 0.0022105898797987
4 1 0.0022047690611174
4 1 0.0022718699862149
4 2 0.0021770695353447
4 2 0.0022924267194922
4 3 0.0022047690611273
4 3 0.0022718699598315
5 0 0.0022718698926174
5 0 0.0022758187031827
5 1 0.0021791642375424
5 1 0.0023335689370661
5 2 0.0022047690614715
5 2 0.0027983843808916
5 3 0.0021791642707151
5 3 0.0023335689010542
