# eigenvalues
# kx ky  E
0 0 3.1272988402177e-05
0 0 0.024666256784649
0 1 0.024820601302222
0 1 0.025082804969652
0 2 0.024940342463529
0 2 0.030913423284162
0 3 0.024820601301837
0 3 0.025082805000679
1 0 0.024820601299903
1 0 0.025082804971505
1 1 0.024788199673904
1 1 0.025023006702573
1 2 0.024680841860889
1 2 0.028512470711294
1 3 0.024788199642762
1 3 0.025023006792767
2 0 0.024940342419264
2 0 0.030913423383378
2 1 0.024680841904804
2 1 0.028512470637628
2 2 0.025221016700773
2 2 0.025221017052539
2 3 0.024680841906452
2 3 0.028512470773513
3 0 0.024820601299919
3 0 0.025082804913299
3 1 0.024788199645448
3 1 0.025023006838112
3 2 0.024680841868304
3 2 0.028512470607071
3 3 0.024788199600528
3 3 0.025023006743919
