# eigenvalues
# kx ky  E
0 0 7.4286692131401e-06
0 0 0.012431405742208
0 1 0.012552980054938
0 1 0.012619319315912
0 2 0.012643670729099
0 2 0.014832250076774
0 3 0.012552980047012
0 3 0.012619319310287
1 0 0.012739835451299
1 0 0.01277473534458
1 1 0.012580947315535
1 1 0.012761690916306
1 2 0.012554070520528
1 2 0.014047071528176
1 3 0.012580947315905
1 3 0.012761690928457
2 0 0.01276048788374
2 0 0.016743818768887
2 1 0.012625936106209
2 1 0.015003210234584
2 2 0.012849302508639
2 2 0.022004864823157
2 3 0.012625936110015
2 3 0.015003210238773
3 0 0.01273983544198
3 0 0.012774735324478
3 1 0.012580947316116
3 1 0.012761690914932
3 2 0.012554070524148
3 2 0.014047071600209
3 3 0.012580947316359
3 3 0.012761690937499
