# eigenvalues
# kx ky  E
0 0 1.0780138711408e-07
0 0 0.00013975533086795
0 1 0.00014066919441173
0 1 0.0001425325781516
0 2 0.00014357064048277
0 2 0.00014597304683333
0 3 0.00014066919441066
0 3 0.00014253257813589
1 0 0.00014574588660569
1 0 0.00014707171572421
1 1 0.00013903141208358
1 1 0.00014033230773911
1 2 0.00014105078889516
1 2 0.00017615071439401
1 3 0.00013903141175153
1 3 0.00014033230752709
2 0 1.0780138711363e-07
2 0 0.00013975533048474
2 1 0.00014066919537055
2 1 0.00014253257828227
2 2 0.00014357064130765
2 2 0.0001459730465219
2 3 0.00014066919443734
2 3 0.00014253257816544
3 0 0.00014574588660671
3 0 0.00014707171595935
3 1 0.00013903141132114
3 1 0.00014033230783156
3 2 0.00014105078889495
3 2 0.0001761507143993
3 3 0.00013903141201788
3 3 0.00014033230708144
4 0 1.0780138711436e-07
4 0 0.00013975533083498
4 1 0.00014066919458333
4 1 0.000142532578177
4 2 0.00014357064113181
4 2 0.00014597304642476
4 3 0.00014066919442567
4 3 0.00014253257811586
5 0 0.00014574588660988
5 0 0.00014707171603071
5 1 0.00013903141237251
5 1 0.00014033230737755
5 2 0.00014105078889477
5 2 0.00017615071457735
5 3 0.00013903141245979
5 3 0.00014033230741524
