# eigenvalues
# kx ky  E
0 0 9.9553979472456e-08
0 0 0.00014234373058777
0 1 0.00014124544871169
0 1 0.00014201158239944
0 2 0.00014328551552661
0 2 0.00014646357784982
0 3 0.00014124544903389
0 3 0.00014201158217258
1 0 0.00014201158131794
1 0 0.00014523055274601
1 1 0.00013876334360696
1 1 0.0001478076488684
1 2 0.00014124544859449
1 2 0.00018110721885944
1 3 0.00013876334328898
1 3 0.00014780764862394
2 0 9.9553979471247e-08
2 0 0.00014234373047859
2 1 0.00014124544874024
2 1 0.00014201158198727
2 2 0.00014328551554075
2 2 0.00014646357772848
2 3 0.00014124544868775
2 3 0.00014201158195655
3 0 0.00014201158165714
3 0 0.0001452305527679
3 1 0.00013876334328734
3 1 0.00014780764869589
3 2 0.00014124544860035
3 2 0.00018110721946022
3 3 0.00013876334336731
3 3 0.00014780764841042
4 0 9.9553979469245e-08
4 0 0.00014234373091536
4 1 0.00014124544886497
4 1 0.00014201158235541
4 2 0.00014328551606253
4 2 0.00014646357815275
4 3 0.00014124544900389
4 3 0.0001420115818085
5 0 0.00014201158142102
5 0 0.00014523055270327
5 1 0.00013876334338127
5 1 0.00014780764875859
5 2 0.00014124544859743
5 2 0.00018110721906457
5 3 0.00013876334325993
5 3 0.00014780764869585
