# eigenvalues
# kx ky  E
0 0 1.6766630434239e-08
0 0 5.8646802329609e-05
0 0 5.8809690203518e-05
0 0 6.0325969755448e-05
0 1 5.8439599222945e-05
0 1 5.8439599222964e-05
0 1 5.9817060614285e-05
0 1 5.9817060922964e-05
0 2 1.6766630432918e-08
0 2 5.8646802598312e-05
0 2 5.8809690123074e-05
0 2 6.0325969748523e-05
0 3 5.8439599222944e-05
0 3 5.8439599222946e-05
0 3 5.9817060614284e-05
0 3 5.9817060800756e-05
0 4 1.6766630435157e-08
0 4 5.8646802302518e-05
0 4 5.8809690453499e-05
0 4 6.0325969749597e-05
0 5 5.8439599222946e-05
0 5 5.843959922295e-05
0 5 5.9817060614285e-05
0 5 5.9817060851529e-05
1 0 5.8182068309078e-05
1 0 5.8439599335624e-05
1 0 5.9817060649203e-05
1 0 6.0554939733844e-05
1 1 5.7143309657946e-05
1 1 5.7143309658796e-05
1 1 6.0857742130999e-05
1 1 6.0857742503686e-05
1 2 5.8182068337792e-05
1 2 5.8439599593352e-05
1 2 5.9817060758741e-05
1 2 6.0554939550032e-05
1 3 5.7143309657948e-05
1 3 5.7143309658465e-05
1 3 6.0857742131002e-05
1 3 6.0857742460763e-05
1 4 5.818206828793e-05
1 4 5.8439599692577e-05
1 4 5.9817060770835e-05
1 4 6.0554939420017e-05
1 5 5.7143309657946e-05
1 5 5.7143309658522e-05
1 5 6.0857742131001e-05
1 5 6.0857742320351e-05
2 0 5.9078077854162e-05
2 0 5.9078078165156e-05
2 0 6.0325969744011e-05
2 0 6.0325970381175e-05
2 1 5.8182068276236e-05
2 1 5.8182068276243e-05
2 1 7.4617785276754e-05
2 1 7.4617785449837e-05
2 2 5.9078077854169e-05
2 2 5.9078077860609e-05
2 2 6.0325969744009e-05
2 2 6.0325969981362e-05
2 3 5.8182068276238e-05
2 3 5.8182068276241e-05
2 3 7.4617785276749e-05
2 3 7.461778558509e-05
2 4 5.9078077854162e-05
2 4 5.9078077856108e-05
2 4 6.0325969744007e-05
2 4 6.0325969939581e-05
2 5 5.8182068276242e-05
2 5 5.818207080206e-05
2 5 7.4617785276746e-05
2 5 0.00010289507832657
3 0 5.8182068337919e-05
3 0 5.843959932118e-05
3 0 5.9817060890348e-05
3 0 6.0554939404845e-05
3 1 5.7143309657947e-05
3 1 5.7143309658033e-05
3 1 6.0857742131001e-05
3 1 6.0857742266995e-05
3 2 5.8182068322806e-05
3 2 5.8439599553564e-05
3 2 5.9817061027536e-05
3 2 6.0554939430231e-05
3 3 5.7143309657947e-05
3 3 5.7143309663003e-05
3 3 6.0857742131002e-05
3 3 6.0857742592848e-05
3 4 5.8182068421282e-05
3 4 5.8439599390825e-05
3 4 5.9817061112198e-05
3 4 6.0554939520126e-05
3 5 5.7143309657946e-05
3 5 5.7143309657985e-05
3 5 6.0857742131001e-05
3 5 6.0857742247451e-05
