Np,UCarea,t2,aniso,twist,gap
8,96,-0.25,1.0,1.0,1.2759280658591479
8,96,-0.24,1.0,1.0,1.274004704883938
8,96,-0.23,1.0,1.0,1.272297322219679
8,96,-0.22,1.0,1.0,1.270811928735555
8,96,-0.21,1.0,1.0,1.269554822016579
8,96,-0.2,1.0,1.0,1.2685326083067314
8,96,-0.19,1.0,1.0,1.2677522124800775
8,96,-0.18,1.0,1.0,1.2672208880697007
8,96,-0.17,1.0,1.0,1.2669462794317796
8,96,-0.16,1.0,1.0,1.2669362550039056
8,96,-0.15,1.0,1.0,1.2671992929801792
8,96,-0.14,1.0,1.0,1.2677441205908404
8,96,-0.13,1.0,1.0,1.2685799198256267
8,96,-0.12,1.0,1.0,1.2697163126769961
8,96,-0.11,1.0,1.0,1.2711633587783135
8,96,-0.1,1.0,1.0,1.2729315853865444
8,96,-0.09,1.0,1.0,1.2750319877787815
8,96,-0.08,1.0,1.0,1.2774760212354859
8,96,-0.07,1.0,1.0,1.2802756321283753
8,96,-0.06,1.0,1.0,1.2824567532790885
8,96,-0.05,1.0,1.0,1.2803199891519803
8,96,-0.04,1.0,1.0,1.2786523633874487
8,96,-0.03,1.0,1.0,1.2775109419137816
8,96,-0.02,1.0,1.0,1.2769597965822688
8,96,-0.01,1.0,1.0,1.2770709520984813
8,96,0.0,1.0,1.0,1.277925482008697
