# eigenvalues
# kx ky  E
0 0 1.3921118509064e-06
0 0 0.00043335849666911
0 1 0.00045589916199107
0 1 0.00046068356749904
0 2 1.3921118508857e-06
0 2 0.0004333584966128
0 3 0.00045589916234816
0 3 0.00046068356642184
0 4 1.3921118509066e-06
0 4 0.00043335849701864
0 5 0.00045589916313171
0 5 0.00046068356817079
1 0 0.00045485695232955
1 0 0.00047815609350852
1 1 0.0004627441377735
1 1 0.00048049897750305
1 2 0.00045485695234213
1 2 0.00047815609463479
1 3 0.00046274413830799
1 3 0.00048049897914073
1 4 0.00045485695232946
1 4 0.00047815609429237
1 5 0.00046274413759062
1 5 0.00048049897885294
2 0 0.00046195630421154
2 0 0.00048237987664769
2 1 0.00047480924293377
2 1 0.00065797075996801
2 2 0.00046195630326457
2 2 0.00048237987590382
2 3 0.00047480924293426
2 3 0.0006579707610202
2 4 0.00046195630385404
2 4 0.00048237987758552
2 5 0.00047480924293379
2 5 0.00065797075820617
3 0 0.00045485695234172
3 0 0.00047815609424564
3 1 0.00046274413765149
3 1 0.00048049897897205
3 2 0.0004548569523394
3 2 0.00047815609546336
3 3 0.00046274413768768
3 3 0.00048049897721982
3 4 0.00045485695234484
3 4 0.00047815609463845
3 5 0.00046274413758138
3 5 0.00048049898007522
