# eigenvalues
# kx ky  E
0 0 1.211780810222e-07
0 0 0.00014228939452281
0 1 0.00014219560035071
0 1 0.00014523857839213
0 2 1.2117808102293e-07
0 2 0.00014228939432372
0 3 0.00014219559994689
0 3 0.00014523857786709
0 4 1.2117808102234e-07
0 4 0.00014228939422687
0 5 0.000142195599986
0 5 0.00014523857797073
1 0 0.00014123502771468
1 0 0.00014219560059251
1 1 0.0001388088272334
1 1 0.00014788910486216
1 2 0.00014123502737995
1 2 0.00014219560077344
1 3 0.00013880882756303
1 3 0.00014788910428406
1 4 0.00014123502740166
1 4 0.00014219560054195
1 5 0.00013880882724065
1 5 0.00014788910451169
2 0 0.00014309616952939
2 0 0.00014647033441463
2 1 0.00014123502736193
2 1 0.00018105962465348
2 2 0.00014309616920814
2 2 0.00014647033427361
2 3 0.00014123502735838
2 3 0.00018105962504822
2 4 0.0001430961692447
2 4 0.00014647033489877
2 5 0.00014123502735992
2 5 0.00018105962452157
3 0 0.00014123502737249
3 0 0.00014219560071564
3 1 0.00013880882713907
3 1 0.00014788910451489
3 2 0.00014123502740968
3 2 0.00014219560073029
3 3 0.00013880882730862
3 3 0.00014788910445429
3 4 0.00014123502757795
3 4 0.00014219560079923
3 5 0.00013880882714251
3 5 0.0001478891043334
