# eigenvalues
# kx ky  E
0 0 0.00067020904685766
0 0 0.039103884272266
0 1 0.039366222145828
0 1 0.03977598112391
0 2 0.039516877329497
0 2 0.049355684088321
0 3 0.039366222427769
0 3 0.039775981130232
1 0 0.039366222162796
1 0 0.039775981194758
1 1 0.039328514234126
1 1 0.039722662019918
1 2 0.039012339371951
1 2 0.044895162080908
1 3 0.03932851426269
1 3 0.039722662020997
2 0 0.03951687732804
2 0 0.049355683831156
2 1 0.039012339378471
2 1 0.044895162142645
2 2 0.039429244475783
2 2 0.068232728594089
2 3 0.039012339360384
2 3 0.044895162027174
3 0 0.039366222243626
3 0 0.039775981202563
3 1 0.03932851425896
3 1 0.03972266215992
3 2 0.039012339368254
3 2 0.04489516180936
3 3 0.039328514234817
3 3 0.039722662097354
