# eigenvalues
# kx ky  E
0 0 9.8465162754251e-06
0 0 0.01711967452901
0 1 0.017224827967708
0 1 0.017399023434939
0 2 0.017309879580862
0 2 0.021428323005314
0 3 0.017224827967726
0 3 0.017399023331563
1 0 0.017224827967625
1 0 0.017399023384555
1 1 0.017199509224951
1 1 0.017363316039724
1 2 0.017134641920603
1 2 0.019799490618318
1 3 0.017199509317833
1 3 0.017363316051484
2 0 0.017309879580474
2 0 0.021428322997196
2 1 0.017134641910917
2 1 0.019799490580498
2 2 0.017531848939553
2 2 0.017531849013002
2 3 0.017134641906926
2 3 0.019799490642607
3 0 0.01722482796788
3 0 0.017399023449047
3 1 0.017199509337084
3 1 0.017363315966195
3 2 0.017134641910137
3 2 0.019799490679334
3 3 0.017199509174438
3 3 0.017363315898772
