# eigenvalues
# kx ky  E
0 0 0.0058343883160084
0 0 0.032992567589599
0 1 0.034759062999494
0 1 0.03482111826962
0 2 0.0058343883160075
0 2 0.032992567586405
0 3 0.034759062962309
0 3 0.034821118263795
0 4 0.0058343883160083
0 4 0.032992567691741
0 5 0.034759062942888
0 5 0.034821118339692
1 0 0.033565371901367
1 0 0.033625758616644
1 1 0.033059748769963
1 1 0.033060693869111
1 2 0.033565371899464
1 2 0.03362575840245
1 3 0.033060428024809
1 3 0.035618445418026
1 4 0.033565371848748
1 4 0.033625758662745
1 5 0.033060202932288
1 5 0.035618446229595
2 0 0.032305860306974
2 0 0.032323620900906
2 1 0.033565371889016
2 1 0.033625758479631
2 2 0.032305859716101
2 2 0.032323665908784
2 3 0.033565371852229
2 3 0.033625758523041
2 4 0.03230586085796
2 4 0.032323620929803
2 5 0.033565371828706
2 5 0.033625758557536
3 0 0.033565371911832
3 0 0.033625758488753
3 1 0.033059882679509
3 1 0.035618444533253
3 2 0.033565371759998
3 2 0.033625758536825
3 3 0.033060397906097
3 3 0.03561844591497
3 4 0.03356537197275
3 4 0.033625758448104
3 5 0.033060156197432
3 5 0.035618446230354
