# eigenvalues
# kx ky  E
0 0 2.4089179620205e-06
0 0 0.00044457991660599
0 1 0.00044877991559623
0 1 0.00045505729420372
0 2 2.4089179620235e-06
0 2 0.00044457991786741
0 3 0.00044877991336427
0 3 0.00045505729356411
0 4 2.4089179620129e-06
0 4 0.00044457991670432
0 5 0.00044877991498891
0 5 0.00045505729424379
1 0 0.00044205593139292
1 0 0.00044877991609902
1 1 0.00043546193357439
1 1 0.00046465250325178
1 2 0.0004420559313267
1 2 0.00044877991510449
1 3 0.00043546193356495
1 3 0.00046465250360078
1 4 0.00044205593140048
1 4 0.00044877991582072
1 5 0.0004354619336621
1 5 0.00046465250346375
2 0 0.00044423138755315
2 0 0.00045881413448298
2 1 0.00044205593132369
2 1 0.0005655408761022
2 2 0.0004442313870131
2 2 0.00045881413282008
2 3 0.00044205593135927
2 3 0.00056554087490776
2 4 0.00044423138659889
2 4 0.00045881413282031
2 5 0.00044205593134039
2 5 0.00056554087472092
3 0 0.00044205593136179
3 0 0.00044877991711723
3 1 0.00043546193350578
3 1 0.0004646525024738
3 2 0.00044205593132592
3 2 0.00044877991627125
3 3 0.00043546193339645
3 3 0.00046465250291356
3 4 0.00044205593136044
3 4 0.0004487799170742
3 5 0.00043546193356164
3 5 0.0004646525040103
