# eigenvalues
# kx ky  E
0 0 -12.547206213887
0 0 -12.52344457319
0 0 -12.448695548266
0 0 -12.423160125572
0 0 -12.408629499748
0 1 -12.468345404062
0 1 -12.449649130832
0 1 -12.413011692589
0 1 -12.406287053045
0 1 -12.40597355714
0 2 -12.49651733419
0 2 -12.468345404062
0 2 -12.43877694125
0 2 -12.437929538176
0 2 -12.408629466057
0 3 -12.507838697553
0 3 -12.448695548196
0 3 -12.439863555152
0 3 -12.438776924548
0 3 -12.405973557226
0 4 -12.547206213886
0 4 -12.439863658608
0 4 -12.437929544675
0 4 -12.434270274206
0 4 -12.423160042393
0 5 -12.507838697553
0 5 -12.44869554826
0 5 -12.43986364094
0 5 -12.438776931698
0 5 -12.405973485865
0 6 -12.49651733419
0 6 -12.468345404062
0 6 -12.438776940005
0 6 -12.437929555299
0 6 -12.408629415733
0 7 -12.468345404062
0 7 -12.449649130832
0 7 -12.413011692533
0 7 -12.406286963562
0 7 -12.40597348893
