# eigenvalues
# kx ky  E
0 0 0.028134239212008
0 0 0.02952375889093
0 1 0.044840966773136
0 1 0.050664738639154
0 2 0.0060907998326301
0 2 0.037674519851175
0 3 0.028957138583687
0 3 0.038122008472052
0 4 0.028242294089498
0 4 0.029505498754468
0 5 0.029104946995439
0 5 0.037876698811851
1 0 0.02813102224725
1 0 0.029523758968805
1 1 0.044917898369746
1 1 0.050664785597942
1 2 0.037674584641452
1 2 0.050286144456283
1 3 0.028957138957737
1 3 0.038122008271055
1 4 0.02824069137445
1 4 0.02950549976087
1 5 0.029104946985124
1 5 0.03787669862684
2 0 0.028134228595342
2 0 0.029523758876746
2 1 0.045005157108828
2 1 0.050664735366799
2 2 0.037674519306069
2 2 0.05028616642885
2 3 0.028957138584184
2 3 0.03812200861668
2 4 0.02824229127515
2 4 0.029505498831936
2 5 0.02910494699528
2 5 0.037876698932356
3 0 0.028130966808153
3 0 0.02952375887306
3 1 0.044918001164318
3 1 0.050664729124223
3 2 0.037674584641453
3 2 0.050286142197967
3 3 0.028957138955821
3 3 0.038122008199238
3 4 0.028240706249421
3 4 0.02950549940489
3 5 0.02910494698519
3 5 0.037876698831737
