# eigenvalues
# kx ky  E
0 0 8.8604823109945e-16
0 0 0.02232909937779
0 1 0.022329099369259
0 1 0.044658198845294
0 2 6.618233620447e-15
0 2 0.02232909939066
0 3 0.02232909936926
0 3 0.044658198883059
0 4 5.611994133902e-15
0 4 0.022329099381224
0 5 0.022329099369258
0 5 0.044658198854716
1 0 0.022329099369263
1 0 0.044658198960947
1 1 0.022329099369257
1 1 0.04465819884674
1 2 0.022329099369258
1 2 0.04465819893634
1 3 0.02232909936926
1 3 0.044658198903348
1 4 0.02232909936926
1 4 0.044658198833418
1 5 0.02232909936926
1 5 0.044658198881098
2 0 0.02232909936926
2 0 0.044658198845172
2 1 0.022329099369262
2 1 0.044658198861262
2 2 0.02232909936926
2 2 0.044658198910882
2 3 0.022329099369261
2 3 0.044658198851458
2 4 0.022329099369263
2 4 0.044658198940802
2 5 0.02232909936926
2 5 0.044658198856511
3 0 0.022329099369261
3 0 0.044658198979874
3 1 0.022329099369262
3 1 0.044658198863276
3 2 0.022329099369262
3 2 0.044658198940319
3 3 0.022329099369261
3 3 0.044658198870795
3 4 0.022329099369258
3 4 0.044658198961425
3 5 0.02232909936926
3 5 0.044658198871866
