# eigenvalues
# kx ky  E
0 0 0.008463244984433
0 0 0.014279938855375
0 1 0.014512847460972
0 1 0.014841252048523
0 2 0.01361663441713
0 2 0.01516362699144
0 3 0.014535541371198
0 3 0.014833671125216
1 0 0.016078626469574
1 0 0.017150323633633
1 1 0.016518284587537
1 1 0.01679633848793
1 2 0.016777831244089
1 2 0.017331211680894
1 3 0.016403581188132
1 3 0.016773595488268
2 0 0.0070933968340255
2 0 0.015420897819657
2 1 0.014868971177956
2 1 0.015441661431939
2 2 0.013869582848813
2 2 0.014130383467716
2 3 0.014869852428883
2 3 0.015449863505684
3 0 0.016200893846733
3 0 0.016883516144369
3 1 0.016360237985252
3 1 0.016722253133138
3 2 0.01680609839687
3 2 0.017211786012513
3 3 0.016419004619798
3 3 0.016778483010621
4 0 0.0089698161304489
4 0 0.01405335917971
4 1 0.014437009397056
4 1 0.014817059350154
4 2 0.013900069735118
4 2 0.014659758929829
4 3 0.014427164752128
4 3 0.014826138813695
5 0 0.016201232820508
5 0 0.01647042155423
5 1 0.016216334443379
5 1 0.016347010571031
5 2 0.01650724203286
5 2 0.016691755954074
5 3 0.016233914439274
5 3 0.016351351599958
