# eigenvalues
# kx ky  E
0 0 0.02658672734144
0 0 0.062028331035963
0 1 0.065038552639432
0 1 0.065742291207077
0 2 0.060267481048757
0 2 0.063592931744655
0 3 0.06519127425469
0 3 0.065896393331434
1 0 0.068455965579764
1 0 0.068913330560198
1 1 0.066422481331105
1 1 0.067444034753828
1 2 0.066223030413839
1 2 0.067718709542988
1 3 0.06667763355861
1 3 0.067158618842521
2 0 0.025773786876588
2 0 0.064951776957923
2 1 0.065341720637192
2 1 0.067273547490454
2 2 0.060389654100398
2 2 0.06118995770268
2 3 0.065387971098572
2 3 0.067238032148324
3 0 0.067249538025514
3 0 0.068549886635284
3 1 0.06591944183047
3 1 0.06690631350871
3 2 0.066132740190711
3 2 0.067308788176529
3 3 0.066571990172853
3 3 0.066773290116873
4 0 0.027895072007945
4 0 0.060367780736007
4 1 0.06269069252023
4 1 0.067641882494693
4 2 0.063086901611571
4 2 0.063886535358414
4 3 0.062764104035848
4 3 0.067811413220257
5 0 0.066964711619477
5 0 0.067892568032354
5 1 0.065606135036533
5 1 0.066577762846839
5 2 0.065671652133299
5 2 0.066808133781032
5 3 0.06610794243255
5 3 0.066311525254629
