# eigenvalues
# kx ky  E
0 0 0.0033744698166666
0 0 0.0050879893200692
0 1 0.0053584722221196
0 1 0.0056693084177267
0 2 0.0052104233420542
0 2 0.0055112655281298
0 3 0.0053419664359448
0 3 0.0057046923842762
1 0 0.0058612431706351
1 0 0.0060100638857204
1 1 0.0058577889750586
1 1 0.0059189289632672
1 2 0.0058009949237441
1 2 0.0059346544339567
1 3 0.0058692485899395
1 3 0.0059174506572138
2 0 0.0029542036162792
2 0 0.0057363423930362
2 1 0.0056198522171515
2 1 0.0056504479046419
2 2 0.0050525118031941
2 2 0.0050989036918456
2 3 0.0056093049670901
2 3 0.0056566873108059
3 0 0.0058570365760457
3 0 0.0060264332205128
3 1 0.005866255711624
3 1 0.0059143145119012
3 2 0.0058368793066931
3 2 0.0059260399594393
3 3 0.0058869572675853
3 3 0.0059256804954962
4 0 0.0033612590987599
4 0 0.0051171032309289
4 1 0.0053624441368391
4 1 0.0056474201615782
4 2 0.0051908878561266
4 2 0.0055005460461785
4 3 0.0053284099719954
4 3 0.0056331730486108
5 0 0.0057480472833284
5 0 0.0058430070633968
5 1 0.0057123834134355
5 1 0.0057908247000997
5 2 0.0057396268215205
5 2 0.0058016392875811
5 3 0.0057328064884
5 3 0.0057834524091444
