# eigenvalues
# kx ky  E
0 0 0.026073383761087
0 0 0.061645173121645
0 1 0.064849481389656
0 1 0.066253684536014
0 2 0.060548276676741
0 2 0.063254523659592
0 3 0.064989755303215
0 3 0.06642783239834
1 0 0.068382914479518
1 0 0.0686719470408
1 1 0.06607293463636
1 1 0.067111557323074
1 2 0.065477543708084
1 2 0.066827335982814
1 3 0.066310639436955
1 3 0.066881834186066
2 0 0.025401084002949
2 0 0.064323648970406
2 1 0.065867684599459
2 1 0.067083895731517
2 2 0.060566080435694
2 2 0.061014438285124
2 3 0.065867680323999
2 3 0.06699347166892
3 0 0.0671041204374
3 0 0.068127019397685
3 1 0.065617646211176
3 1 0.066683683518385
3 2 0.065428658507639
3 2 0.0664743708649
3 3 0.06631295396475
3 3 0.066490282888873
4 0 0.027052252630673
4 0 0.060267817003612
4 1 0.062842478730352
4 1 0.067789106316862
4 2 0.063138262935774
4 2 0.063997512972153
4 3 0.062879098431943
4 3 0.067836528301606
5 0 0.066901094916365
5 0 0.067643621635021
5 1 0.065369597491912
5 1 0.066377102464836
5 2 0.064995504996688
5 2 0.066072067830565
5 3 0.06584879331753
5 3 0.066127606652865
