#  N    Kx    Ky    lambda
4 0 0 0.0027950346508935
4 0 0 0.0027920160180605
4 0 0 0.0027919702074465
4 0 0 0.0027890714737392
4 0 0 0.0027573831232364
4 0 0 0.0027533893070454
4 0 0 0.00275338707981
4 0 0 0.0027494597378183
4 0 0 0.0023645295204541
4 0 0 0.0023626049839394
4 0 0 0.0023625578663058
4 0 0 0.0023606477973352
4 0 0 0.0019914485971065
4 0 0 0.0019911192831687
4 0 0 0.0019910715289571
4 0 0 0.0019907308555669
4 0 0 0.0016791782500099
4 0 0 0.0016749058988737
4 0 0 0.0016748964099258
4 0 0 0.0016707370483032
4 0 0 0.0016208927685417
4 0 0 0.0016204691033195
4 0 0 0.0016204681268517
4 0 0 0.0016200475050258
4 0 0 0.0015354057825695
4 0 0 0.0015335260725155
4 0 0 0.001533316322208
4 0 0 0.0015314623640094
4 0 0 0.0014913799939821
4 0 0 0.0014910695614551
4 0 0 0.001491067980822
4 0 0 0.0014910064691996
4 0 0 0.0013230760230426
4 0 0 0.0013218495520858
4 0 0 0.0013218421354974
4 0 0 0.0013207090946598
4 0 0 0.0010334391952723
4 0 0 0.0010327584403461
4 0 0 0.0010327432823115
4 0 0 0.0010320812608258
4 0 0 0.00089165765476028
4 0 0 0.00089118015852992
4 0 0 0.00089117680282827
4 0 0 0.0008907041455612
4 0 0 0.00076590447144156
4 0 0 0.00076530999084431
4 0 0 0.00076530487172063
4 0 0 0.00076469925384272
4 0 0 1.6231314303867e-09
4 0 0 1.4431113392412e-09
4 0 0 1.2641108316326e-09
4 0 0 1.2432138690512e-09
4 0 0 1.2080038967988e-09
4 0 0 1.164951242312e-09
4 0 0 1.1310254339908e-09
4 0 0 9.4121007880625e-10
4 0 0 8.8313290678136e-10
4 0 0 8.6889959112297e-10
4 0 0 8.5165042514118e-10
4 0 0 8.3322093454235e-10
4 0 0 8.1324663069978e-10
4 0 0 7.1337685189335e-10
4 0 0 7.0819821124177e-10
4 0 0 6.606105609806e-10
4 0 0 5.8808401523764e-10
4 0 0 5.3582311096657e-10
4 0 0 4.9713739774147e-10
4 0 0 4.8772954447748e-10
4 0 0 4.8631656315553e-10
4 0 0 4.7923738374268e-10
4 0 0 4.2534268545089e-10
4 0 0 4.0891116985727e-10
4 0 0 3.9119803696139e-10
4 0 0 3.7627510975287e-10
4 0 0 3.4353125348113e-10
4 0 0 3.2985237378476e-10
4 0 0 3.0380218510094e-10
4 0 0 2.749276718082e-10
4 0 0 2.6877618739372e-10
4 0 0 2.6557892727294e-10
4 0 0 2.4103992619643e-10
4 0 0 2.3717361785715e-10
4 0 0 2.339100980238e-10
4 0 0 2.3362108988028e-10
4 0 0 2.1931868106188e-10
4 0 0 2.0297580477171e-10
4 0 0 1.8454482595102e-10
4 0 0 1.7767456089559e-10
4 0 0 1.7587556740969e-10
4 0 0 1.6748830618917e-10
4 0 0 1.5141787277082e-10
4 0 0 1.4935397909059e-10
4 0 0 1.4759186009898e-10
4 0 0 1.44027050796e-10
4 0 0 1.4371888316284e-10
4 0 0 1.3901077461799e-10
4 0 0 1.2764750609597e-10
4 0 0 1.2440671843193e-10
4 0 0 1.1766515998196e-10
4 0 0 1.1643805325966e-10
4 0 0 1.1244547073394e-10
4 0 0 1.0751591150926e-10
4 0 0 1.0352208201821e-10
4 0 0 1.0062625778545e-10
4 0 0 9.3177284874557e-11
4 0 0 9.2548623781031e-11
4 0 0 8.4531586064849e-11
4 0 0 8.1519526809045e-11
4 0 0 7.7533305232376e-11
4 0 0 7.7238221798846e-11
4 0 0 7.7213945322127e-11
4 0 0 7.5681501698054e-11
4 0 0 7.5183557252065e-11
4 0 0 6.9371660503631e-11
4 0 0 6.8602108166863e-11
4 0 0 6.7820071630239e-11
4 0 0 6.7584640511814e-11
4 0 0 6.3561882466261e-11
4 0 0 5.9076822104168e-11
4 0 0 5.7990247771013e-11
4 0 0 5.7982474551351e-11
4 0 0 5.3655243904643e-11
4 0 0 5.1753674330732e-11
4 0 0 4.7079017629466e-11
4 0 0 4.6534799746555e-11
4 0 0 4.4613404950268e-11
4 0 0 4.3226223168407e-11
4 0 0 3.9090842216672e-11
4 0 0 3.6643770049287e-11
4 0 0 3.6462764804914e-11
4 0 0 3.2525524665761e-11
4 0 0 3.1471235772701e-11
4 0 0 3.0228438092062e-11
4 0 0 2.8324793087941e-11
4 0 0 2.7533998485159e-11
4 0 0 2.6548694285748e-11
4 0 0 2.6115722232607e-11
4 0 0 2.2307200176839e-11
4 0 0 2.1721507094213e-11
4 0 0 1.9557391429139e-11
4 0 0 1.94103535401e-11
4 0 0 1.9224721954335e-11
4 0 0 1.721891751264e-11
4 0 0 1.6627053917969e-11
4 0 0 1.6310975458406e-11
4 0 0 1.5428642337443e-11
4 0 0 1.5389645801108e-11
4 0 0 1.4336300463529e-11
4 0 0 1.2885176227145e-11
4 0 0 1.1389171971197e-11
4 0 0 1.0866248728342e-11
4 0 0 1.0626572914939e-11
4 0 0 1.0219776749437e-11
4 0 0 9.5247604502001e-12
4 0 0 8.2599209943303e-12
4 0 0 7.5883503031373e-12
4 0 0 7.1781861885177e-12
4 0 0 7.0652929889892e-12
4 0 0 6.7415001658521e-12
4 0 0 6.4399815286973e-12
4 0 0 6.2860392952273e-12
4 0 0 5.9947028466993e-12
4 0 0 5.7300198777694e-12
4 0 0 4.9054894047839e-12
4 0 0 4.7245174697653e-12
4 0 0 4.0316743673849e-12
4 0 0 3.6233122256664e-12
4 0 0 3.4654072370604e-12
4 0 0 2.9529210942003e-12
4 0 0 2.7099984133314e-12
4 0 0 2.5153982400386e-12
4 0 0 2.4919211805512e-12
4 0 0 1.8612189123657e-12
4 0 0 1.7215915544732e-12
4 0 0 1.5458759998118e-12
4 0 0 1.5338286964341e-12
4 0 0 1.3598018993339e-12
4 0 0 9.3007131849593e-13
4 0 0 8.9330451098226e-13
4 0 0 6.3941061556088e-13
4 0 0 5.4440453853452e-13
4 0 0 5.1691219478094e-13
4 0 0 4.0582070355392e-13
4 0 0 3.6253691570637e-13
4 0 0 3.0802724861264e-13
4 0 0 3.0247973251801e-13
4 0 0 2.9794032971589e-13
4 0 0 2.2177659068744e-13
4 0 0 1.9746856098015e-13
4 0 0 1.7739965693351e-13
4 0 0 1.6819019560466e-13
4 0 0 1.4454649855834e-13
4 0 0 1.2934954780105e-13
4 0 0 1.2106033060574e-13
4 0 0 1.1398794319491e-13
4 0 0 8.2459385027684e-14
4 0 0 7.6746361128134e-14
4 0 0 7.4044028436852e-14
4 0 0 7.392232931184e-14
4 0 0 5.7972337012985e-14
4 0 0 5.579966395611e-14
4 0 0 5.5627249222333e-14
4 0 0 5.4218538479597e-14
4 0 0 4.7859283766118e-14
4 0 0 4.2947538402959e-14
4 0 0 4.2008171992748e-14
4 0 0 3.9281550263351e-14
4 0 0 2.9708586803951e-14
4 0 0 2.8580358715708e-14
4 0 0 2.7757722167814e-14
4 0 0 2.7148257092963e-14
4 0 0 2.2013566847669e-14
4 0 0 2.028862110392e-14
4 0 0 1.9442708509338e-14
4 0 0 1.9049024106229e-14
4 0 0 1.7729481128487e-14
4 0 0 1.5054163706313e-14
4 0 0 1.5023481749178e-14
4 0 0 1.2620290423996e-14
4 0 0 1.0194294836545e-14
4 0 0 1.0095503015717e-14
4 0 0 9.9062547044229e-15
4 0 0 9.0416910595083e-15
4 0 0 8.7139730515033e-15
4 0 0 6.8500405860281e-15
4 0 0 6.4462716835582e-15
4 0 0 5.7640570969372e-15
4 0 0 4.9343264227734e-15
4 0 0 4.6924956838694e-15
4 0 0 4.020928495177e-15
4 0 0 3.8714966166255e-15
4 0 0 3.3298445679746e-15
4 0 0 3.0686003835544e-15
4 0 0 2.3753515402887e-15
4 0 0 2.220065294064e-15
4 0 0 1.9049680750527e-15
4 0 0 1.7858204657495e-15
4 0 0 1.5153904199281e-15
4 0 0 1.5026072072018e-15
4 0 0 1.4593719287435e-15
4 0 0 7.0000820875158e-16
4 0 0 6.2705912581969e-16
4 0 0 6.1238139508998e-16
4 0 0 5.0144794532301e-16
4 0 0 2.3153160719617e-16
4 0 0 2.1182048787038e-16
4 0 0 1.4153417786066e-16
4 0 0 1.164774902334e-16
4 0 0 2.6150194792056e-18
4 0 0 1.6461890902384e-18
4 0 0 1.2243791704034e-18
4 0 0 7.8753587993454e-19
4 0 1 0.0027774932374805
4 0 1 0.0027741174092922
4 0 1 0.0027737253624989
4 0 1 0.0027704045831868
4 0 1 0.0024405257771185
4 0 1 0.0024382507173324
4 0 1 0.0024377778146396
4 0 1 0.0024354794907943
4 0 1 0.0021246035631052
4 0 1 0.0021231311041753
4 0 1 0.0021227772000792
4 0 1 0.0021213170273057
4 0 1 0.0018043537747675
4 0 1 0.0018040685587826
4 0 1 0.0018030240838553
4 0 1 0.0018027186457046
4 0 1 0.0015515419248561
4 0 1 0.0015514289398706
4 0 1 0.0015504626874206
4 0 1 0.001550359155588
4 0 1 0.0014911685740986
4 0 1 0.0014901908482138
4 0 1 0.0014897316843824
4 0 1 0.0014887622007325
4 0 1 0.00137310407471
4 0 1 0.0013720217312497
4 0 1 0.0013719716946181
4 0 1 0.001370939129292
4 0 1 0.0010819050152707
4 0 1 0.0010809805581574
4 0 1 0.001080892951667
4 0 1 0.0010799807603835
4 0 1 0.00084968525422985
4 0 1 0.00084907513500437
4 0 1 0.00084902777125245
4 0 1 0.00084841711342721
4 0 1 0.00067282678640632
4 0 1 0.00067277752275957
4 0 1 0.00067244867663319
4 0 1 0.00067240734407732
4 0 1 1.4308627369297e-09
4 0 1 1.319911649289e-09
4 0 1 1.3071309455759e-09
4 0 1 1.1878924233621e-09
4 0 1 1.1438497942294e-09
