# eigenvalues
# kx ky  E
0 0 0.0060554555848958
0 0 0.033139701197738
0 1 0.034893878885268
0 1 0.034987458852408
0 2 0.0060554555848973
0 2 0.033139701272168
0 3 0.034893878740997
0 3 0.034987459000243
0 4 0.0060554555848979
0 4 0.033139701177185
0 5 0.03489387879167
0 5 0.034987458796827
1 0 0.033711009604539
1 0 0.033767500274396
1 1 0.033252787298649
1 1 0.033270082463442
1 2 0.033711009584302
1 2 0.033767500361685
1 3 0.033252787230667
1 3 0.033270082395176
1 4 0.033711009739855
1 4 0.03376750031712
1 5 0.033252787245766
1 5 0.033270082473117
2 0 0.032412266572719
2 0 0.032429970946132
2 1 0.03380452663968
2 1 0.0338802433891
2 2 0.032412203646601
2 2 0.032431147042783
2 3 0.03380452668049
2 3 0.033880243269121
2 4 0.03241225473951
2 4 0.032429808060944
2 5 0.033804526544346
2 5 0.033880243290846
3 0 0.033711009697899
3 0 0.033767500354195
3 1 0.033252787201691
3 1 0.033270082331556
3 2 0.033711009683704
3 2 0.033767500117397
3 3 0.033252787335274
3 3 0.033270082389486
3 4 0.033711009524964
3 4 0.033767500299586
3 5 0.033252787061952
3 5 0.033270082562872
