# eigenvalues
# kx ky  E
0 0 2.4714725849751e-05
0 0 0.0021844651774128
0 1 0.0021998858920485
0 1 0.002234908443282
0 2 2.4714725849789e-05
0 2 0.0021844651789054
0 3 0.0021998858888335
0 3 0.0022349084479939
0 4 2.4714725849808e-05
0 4 0.0021844651711918
0 5 0.0021998858918149
0 5 0.0022349084454803
1 0 0.002170746731795
1 0 0.0021998858954645
1 1 0.0021369588429809
1 1 0.0022797925267349
1 2 0.0021707467314745
1 2 0.0021998859046003
1 3 0.0021369588457106
1 3 0.0022797925247712
1 4 0.0021707467315935
1 4 0.0021998859007181
1 5 0.0021369588431875
1 5 0.0022797925251309
2 0 0.0021832163347379
2 0 0.0022529167316583
2 1 0.0021707467314716
2 1 0.0027736150317213
2 2 0.0021832163348678
2 2 0.0022529167332746
2 3 0.0021707467315089
2 3 0.0027736150262094
2 4 0.0021832163370549
2 4 0.0022529167361503
2 5 0.0021707467314868
2 5 0.0027736150320427
3 0 0.0021707467319022
3 0 0.0021998859043135
3 1 0.0021369588435092
3 1 0.002279792527235
3 2 0.0021707467314776
3 2 0.0021998858991092
3 3 0.0021369588461024
3 3 0.0022797925350802
3 4 0.002170746731641
3 4 0.0021998858974104
3 5 0.0021369588537241
3 5 0.0022797925317172
