Np,UCarea,t2,aniso,twist,gap
8,6,-0.25,1.0,0,0.9223025698055124
8,6,-0.24,1.0,0,0.9226871903904947
8,6,-0.23,1.0,0,0.9231385828414356
8,6,-0.22,1.0,0,0.9236577872615293
8,6,-0.21,1.0,0,0.9242457640356745
8,6,-0.2,1.0,0,0.9249034415993316
8,6,-0.19,1.0,0,0.9256316804009568
8,6,-0.18,1.0,0,0.9264312796444235
8,6,-0.17,1.0,0,0.9273029938253101
8,6,-0.16,1.0,0,0.9282475075113467
8,6,-0.15,1.0,0,0.9292737539387773
8,6,-0.14,1.0,0,0.9303685547016239
8,6,-0.13,1.0,0,0.9315275733714745
8,6,-0.12,1.0,0,0.9327682124477676
8,6,-0.11,1.0,0,0.9340480368346105
8,6,-0.1,1.0,0,0.935435789807425
8,6,-0.09,1.0,0,0.936854374556016
8,6,-0.08,1.0,0,0.9382905884286613
8,6,-0.07,1.0,0,0.9398548618077023
8,6,-0.06,1.0,0,0.9414966184622966
8,6,-0.05,1.0,0,0.9432164594121444
8,6,-0.04,1.0,0,0.945014416060716
8,6,-0.03,1.0,0,0.946890041098014
8,6,-0.02,1.0,0,0.9488429302213117
8,6,-0.01,1.0,0,0.9508708581294095
8,6,0.0,1.0,0,0.9529729704033335
8,24,-0.25,1.0,0,1.2130220300569834
8,24,-0.24,1.0,0,1.2115014703855698
8,24,-0.23,1.0,0,1.2101688639086239
8,24,-0.22,1.0,0,1.2090287922280583
8,24,-0.21,1.0,0,1.2080859892692088
8,24,-0.2,1.0,0,1.2073453596692993
8,24,-0.19,1.0,0,1.2068119598028266
8,24,-0.18,1.0,0,1.2064910498463435
8,24,-0.17,1.0,0,1.206388038788686
8,24,-0.16,1.0,0,1.2065085090524694
8,24,-0.15,1.0,0,1.2068582357869995
8,24,-0.14,1.0,0,1.2074431567386337
8,24,-0.13,1.0,0,1.208269385637105
8,24,-0.12,1.0,0,1.2093432057677336
8,24,-0.11,1.0,0,1.2106710758240662
8,24,-0.1,1.0,0,1.2122596025538797
8,24,-0.09,1.0,0,1.2141155482321895
8,24,-0.08,1.0,0,1.2162458059680614
8,24,-0.07,1.0,0,1.218657391140274
8,24,-0.06,1.0,0,1.219336863749621
8,24,-0.05,1.0,0,1.2178973725476268
8,24,-0.04,1.0,0,1.2168080862861848
8,24,-0.03,1.0,0,1.2161018102932495
8,24,-0.02,1.0,0,1.215814164848106
8,24,-0.01,1.0,0,1.215983792251508
8,24,0.0,1.0,0,1.216652611467509
8,54,-0.25,1.0,0,1.2596139779656812
8,54,-0.24,1.0,0,1.2577897188756042
8,54,-0.23,1.0,0,1.2561736866974933
8,54,-0.22,1.0,0,1.2547715346923192
8,54,-0.21,1.0,0,1.25358917156583
8,54,-0.2,1.0,0,1.2526327714058902
8,54,-0.19,1.0,0,1.251908779303161
8,54,-0.18,1.0,0,1.2514239464313655
8,54,-0.17,1.0,0,1.2511853083691165
8,54,-0.16,1.0,0,1.2512002326636424
8,54,-0.15,1.0,0,1.2514763935928128
8,54,-0.14,1.0,0,1.252021814763157
8,54,-0.13,1.0,0,1.2528448703839805
8,54,-0.12,1.0,0,1.2539542802950676
8,54,-0.11,1.0,0,1.255359127725963
8,54,-0.1,1.0,0,1.2570688701485375
8,54,-0.09,1.0,0,1.259093319801671
8,54,-0.08,1.0,0,1.2614426663562763
8,54,-0.07,1.0,0,1.2641274536302574
8,54,-0.06,1.0,0,1.2659404578092461
8,54,-0.05,1.0,0,1.2640042390421047
8,54,-0.04,1.0,0,1.2625036887521037
8,54,-0.03,1.0,0,1.2614885665854294
8,54,-0.02,1.0,0,1.2610142550951777
8,54,-0.01,1.0,0,1.2611424315643407
8,54,0.0,1.0,0,1.2619418412070387
