# eigenvalues
# kx ky  E
0 0 1.1402234260773e-06
0 0 0.00043973749946591
0 1 0.00046415739168617
0 1 0.00048797297185576
0 2 0.00047102954375702
0 2 0.00049166444691343
0 3 0.00046415739173889
0 3 0.00048797297222826
1 0 0.00046299570444064
1 0 0.00047410848834865
1 1 0.00047708860102163
1 1 0.00050007466542567
1 2 0.00048804014094112
1 2 0.00068656204369956
1 3 0.00047708860102167
1 3 0.00050007466536661
2 0 1.1402234260808e-06
2 0 0.00043973749913197
2 1 0.00046415739168974
2 1 0.00048797297297157
2 2 0.00047102954311372
2 2 0.0004916644453991
2 3 0.00046415739168683
2 3 0.00048797297240146
3 0 0.00046299570611661
3 0 0.00047410848472298
3 1 0.00047708860102164
3 1 0.00050007466691744
3 2 0.00048804014094084
3 2 0.00068656204473264
3 3 0.00047708860102167
3 3 0.00050007466570237
4 0 1.1402234260892e-06
4 0 0.00043973749945345
4 1 0.00046415739169587
4 1 0.00048797297373333
4 2 0.00047102954557687
4 2 0.00049166444705495
4 3 0.00046415739168609
4 3 0.00048797297259996
5 0 0.00046299570595637
5 0 0.00047410848592967
5 1 0.0004770886726646
5 1 0.00050016115139174
5 2 0.00048804014094096
5 2 0.0006865620451731
5 3 0.00047708860102165
5 3 0.00050007466586246
