# eigenvalues
# kx ky  E
0 0 9.8630618446736e-07
0 0 0.00044449196263062
0 1 0.00044124932146818
0 1 0.00044458338800353
0 2 0.00044668149228222
0 2 0.00045764658990437
0 3 0.00044124932117934
0 3 0.00044458338785979
1 0 0.00044458338603748
1 0 0.00045382304454054
1 1 0.00043375099826162
1 1 0.00046219383386451
1 2 0.00044124932101103
1 2 0.00056543249138572
1 3 0.00043375099793394
1 3 0.0004621938325017
2 0 9.8630618448174e-07
2 0 0.00044449196190894
2 1 0.00044124932179047
2 1 0.00044458338812418
2 2 0.00044668149186383
2 2 0.00045764659009944
2 3 0.00044124932176889
2 3 0.00044458338876331
3 0 0.00044458338886481
3 0 0.00045382304499118
3 1 0.00043375099810645
3 1 0.0004621938341343
3 2 0.00044124932100363
3 2 0.00056543249166502
3 3 0.00043375099823986
3 3 0.00046219383322385
4 0 9.8630618449534e-07
4 0 0.00044449196183477
4 1 0.00044124932155286
4 1 0.00044458338859128
4 2 0.00044668149189142
4 2 0.00045764658995279
4 3 0.0004412493212
4 3 0.00044458338754806
5 0 0.00044458338648047
5 0 0.00045382304515745
5 1 0.00043375099854153
5 1 0.00046219383254624
5 2 0.00044124932100087
5 2 0.00056543249300052
5 3 0.0004337509982121
5 3 0.00046219383224652
