# eigenvalues
# kx ky  E
0 0 1.741515769768e-07
0 0 0.00014225192189443
0 1 0.00014244224267014
0 1 0.00014527710101981
0 2 1.7415157698325e-07
0 2 0.00014225192239224
0 3 0.00014244224275626
0 3 0.00014527710079979
0 4 1.7415157698358e-07
0 4 0.00014225192184945
0 5 0.00014244224304601
0 5 0.0001452771008609
1 0 0.00014124867036692
1 0 0.00014244224341352
1 1 0.00013888786853311
1 1 0.00014801408462266
1 2 0.00014124867031657
1 2 0.00014244224359298
1 3 0.00013888786858964
1 3 0.00014801408443982
1 4 0.00014124867041158
1 4 0.00014244224345198
1 5 0.00013888786873049
1 5 0.00014801408462045
2 0 0.00014289204546985
2 0 0.0001465061626694
2 1 0.00014124867030695
2 1 0.00018102764178659
2 2 0.00014289204563286
2 2 0.00014650616261436
2 3 0.00014124867030719
2 3 0.00018102764195282
2 4 0.00014289204599531
2 4 0.00014650616226634
2 5 0.00014124867030641
2 5 0.00018102764260103
3 0 0.00014124867032695
3 0 0.00014244224337369
3 1 0.00013888786855934
3 1 0.0001480140845258
3 2 0.00014124867073123
3 2 0.00014244224371648
3 3 0.0001388878686037
3 3 0.00014801408470592
3 4 0.00014124867032979
3 4 0.00014244224326622
3 5 0.00013888786899157
3 5 0.00014801408449865
