# eigenvalues
# kx ky  E
0 0 9.9553979472226e-08
0 0 0.00014234373082801
0 1 0.00014201158138294
0 1 0.00014523055298825
0 2 9.9553979475175e-08
0 2 0.00014234373047478
0 3 0.0001420115813214
0 3 0.00014523055278653
0 4 9.9553979476414e-08
0 4 0.00014234373032131
0 5 0.00014201158139263
0 5 0.00014523055266234
1 0 0.00014124544871656
1 0 0.0001420115821872
1 1 0.00013876334333519
1 1 0.00014780764864374
1 2 0.00014124544861095
1 2 0.00014201158210743
1 3 0.00013876334330201
1 3 0.00014780764875504
1 4 0.00014124544860818
1 4 0.00014201158205346
1 5 0.00013876334321292
1 5 0.00014780764873898
2 0 0.00014328551546464
2 0 0.00014646357825158
2 1 0.00014124544859425
2 1 0.00018110721954261
2 2 0.00014328551547086
2 2 0.0001464635779666
2 3 0.00014124544859233
2 3 0.00018110721929131
2 4 0.0001432855153102
2 4 0.00014646357828915
2 5 0.00014124544859262
2 5 0.00018110721905697
3 0 0.00014124544871638
3 0 0.00014201158238704
3 1 0.00013876334343491
3 1 0.00014780764880549
3 2 0.00014124544908226
3 2 0.00014201158210323
3 3 0.00013876334331746
3 3 0.00014780764901473
3 4 0.00014124544863276
3 4 0.00014201158212598
3 5 0.0001387633433051
3 5 0.00014780764878389
