# eigenvalues
# kx ky  E
0 0 0.0063075063121227
0 0 0.033303071933246
0 1 0.035242776772598
0 1 0.035269652119938
0 2 0.0063075063121233
0 2 0.033303073906097
0 3 0.03524277666834
0 3 0.035269652185282
0 4 0.0063075063121216
0 4 0.033303071903882
0 5 0.035242776756198
0 5 0.035269651973724
1 0 0.033974412833876
1 0 0.03404534074189
1 1 0.03347989487407
1 1 0.036109144740335
1 2 0.033974414008859
1 2 0.034045347070213
1 3 0.033480335360984
1 3 0.03610914580971
1 4 0.03397441281118
1 4 0.034045340709316
1 5 0.033480183752984
1 5 0.036109144421774
2 0 0.032537745459226
2 0 0.032553745261412
2 1 0.033974412798758
2 1 0.034045340674923
2 2 0.032537650094942
2 2 0.032550797020479
2 3 0.033974412795427
2 3 0.034045340549351
2 4 0.03253776422234
2 4 0.032552826127942
2 5 0.033974412649354
2 5 0.034045340767642
3 0 0.033974412725429
3 0 0.034045340547729
3 1 0.033479997585156
3 1 0.036109143274805
3 2 0.033974412738832
3 2 0.034045340682034
3 3 0.033479938324317
3 3 0.036109145171183
3 4 0.033974412766481
3 4 0.034045340593589
3 5 0.033479633732386
3 5 0.033480973631351
