# eigenvalues
# kx ky  E
0 0 0.027319024489157
0 0 0.062760455311681
0 1 0.064736199318755
0 1 0.065592823098982
0 2 0.059695287006202
0 2 0.064326834974647
0 3 0.064871531604102
0 3 0.065708096444987
1 0 0.068741149595655
1 0 0.069402380401053
1 1 0.067501212996049
1 1 0.068377016759475
1 2 0.067675466666554
1 2 0.069404560653307
1 3 0.067676779479301
1 3 0.068075545773956
2 0 0.026266423553311
2 0 0.065949032495525
2 1 0.064513986974906
2 1 0.067527330087939
2 2 0.060014959436618
2 2 0.061634659128664
2 3 0.064612367631168
2 3 0.067489397352829
3 0 0.067856457300117
3 0 0.069282104279408
3 1 0.066858985010408
3 1 0.067700002782197
3 2 0.067456012188938
3 2 0.068928098136636
3 3 0.067415193583199
3 3 0.06776216516016
4 0 0.029291188118324
4 0 0.060537334577407
4 1 0.062496300637607
4 1 0.06731655548615
4 2 0.062822639203721
4 2 0.063627454097029
4 3 0.062619986684135
4 3 0.067562787745186
5 0 0.067480026043352
5 0 0.068587702793014
5 1 0.066457747671842
5 1 0.06736263726394
5 2 0.066955327084936
5 2 0.06822916555425
5 3 0.066961709263269
5 3 0.067105791301837
