Np,UCarea,t2,twist,aniso,gap
8,24,0.0,1.0,1.02,18.413097193103617
8,24,0.0,1.0,1.04,18.182854555023745
8,24,0.0,1.0,1.06,17.955925263529345
8,24,0.0,1.0,1.08,17.732489924680127
8,24,0.0,1.0,1.1,17.512760959417726
8,24,0.0,1.0,1.12,17.296978835457793
8,24,0.0,1.0,1.14,17.085407799619585
8,24,0.0,1.0,1.16,16.878331184579714
8,24,0.0,1.0,1.18,16.676046419822782
8,24,0.0,1.0,1.2,16.478859887875586
8,24,0.0,1.0,1.22,16.28708178390797
8,24,0.0,1.0,1.24,16.10102111843059
8,24,0.0,1.0,1.26,15.920980997567614
8,24,0.0,1.0,1.28,15.747254285990977
8,24,0.0,1.0,1.3,15.580119737244672
8,24,0.0,1.0,1.32,15.419838645736702
8,24,0.0,1.0,1.34,15.266652053848702
8,24,0.0,1.0,1.36,15.120778521847678
8,24,0.0,1.0,1.38,14.982412450654659
8,24,0.0,1.0,1.4,14.851722931997184
8,24,0.0,1.0,1.42,14.728853088771839
8,24,0.0,1.0,1.44,14.613919860652414
8,24,0.0,1.0,1.46,14.507014185232126
8,24,0.0,1.0,1.48,14.408201522908225
8,24,0.0,1.0,1.5,14.317522673843518
8,24,0.0,1.0,1.52,14.234994836982143
8,24,0.0,1.0,1.54,14.160612864044737
8,24,0.0,1.0,1.56,14.094350664994945
8,24,0.0,1.0,1.58,14.036162725552899
8,24,0.0,1.0,1.6,13.985985701580478
8,54,0.0,1.0,1.02,16.892876507724814
8,54,0.0,1.0,1.04,16.62282709238077
8,54,0.0,1.0,1.06,16.362254700892226
8,54,0.0,1.0,1.08,16.111331846644212
8,54,0.0,1.0,1.1,15.87011279170546
8,54,0.0,1.0,1.12,15.63859838506879
8,54,0.0,1.0,1.14,15.328751936750091
8,54,0.0,1.0,1.16,15.007331102065386
8,54,0.0,1.0,1.18,14.695139123196364
8,54,0.0,1.0,1.2,14.392798548077815
8,54,0.0,1.0,1.22,14.100867489063827
8,54,0.0,1.0,1.24,13.819835633090374
8,54,0.0,1.0,1.26,13.550122123962087
8,54,0.0,1.0,1.28,13.292074773520605
8,54,0.0,1.0,1.3,13.045970803320147
8,54,0.0,1.0,1.32,12.812018628757293
8,54,0.0,1.0,1.34,12.590360549053043
8,54,0.0,1.0,1.36,12.381076231980959
8,54,0.0,1.0,1.38,12.184186700332216
8,54,0.0,1.0,1.4,11.999658578898774
8,54,0.0,1.0,1.42,11.827408994552684
8,54,0.0,1.0,1.44,11.66730995501376
8,54,0.0,1.0,1.46,11.519193388175227
8,54,0.0,1.0,1.48,11.382855658813625
8,54,0.0,1.0,1.5,11.258062208480782
8,54,0.0,1.0,1.52,11.144551932756595
8,54,0.0,1.0,1.54,11.042041339146348
8,54,0.0,1.0,1.56,10.95022852869815
8,54,0.0,1.0,1.58,10.86879683555619
8,54,0.0,1.0,1.6,10.79741826765207
8,96,0.0,1.0,1.02,15.187036800066052
8,96,0.0,1.0,1.04,14.873672050330523
8,96,0.0,1.0,1.06,14.573483033105202
8,96,0.0,1.0,1.08,14.286364543149464
8,96,0.0,1.0,1.1,14.012179796119446
8,96,0.0,1.0,1.12,13.750771467410841
8,96,0.0,1.0,1.14,13.501969032457726
8,96,0.0,1.0,1.16,13.152936182078362
8,96,0.0,1.0,1.18,12.74619940211036
8,96,0.0,1.0,1.2,12.353640086502601
8,96,0.0,1.0,1.22,11.975833015090792
8,96,0.0,1.0,1.24,11.613232147175424
8,96,0.0,1.0,1.26,11.266175287443456
8,96,0.0,1.0,1.28,10.934890316938134
8,96,0.0,1.0,1.3,10.61950251219517
8,96,0.0,1.0,1.32,10.320042582955931
8,96,0.0,1.0,1.34,10.03645512737741
8,96,0.0,1.0,1.36,9.768607264578353
8,96,0.0,1.0,1.38,9.516297206354231
8,96,0.0,1.0,1.4,9.279262618942466
8,96,0.0,1.0,1.42,9.057188657209648
8,96,0.0,1.0,1.44,8.849715585690932
8,96,0.0,1.0,1.46,8.65644590010839
8,96,0.0,1.0,1.48,8.476950981389416
8,96,0.0,1.0,1.5,8.310777179579595
8,96,0.0,1.0,1.52,8.157451394467126
8,96,0.0,1.0,1.54,8.016486141215232
8,96,0.0,1.0,1.56,7.887384109787444
8,96,0.0,1.0,1.58,7.769642230365697
8,96,0.0,1.0,1.6,7.662755365790517
