# eigenvalues
# kx ky  E
0 0 0.0080523642462286
0 0 0.014303338958321
0 1 0.015061662003888
0 1 0.015624568949085
0 2 0.014289489196715
0 2 0.015314567361587
0 3 0.015044972760128
0 3 0.015693581141133
1 0 0.016258294938735
1 0 0.016566281508399
1 1 0.01608271988976
1 1 0.016303932761577
1 2 0.015986772302076
1 2 0.016334042617379
1 3 0.016055808922935
1 3 0.016244492079373
2 0 0.0073589208232794
2 0 0.015756742333067
2 1 0.015491971927698
2 1 0.015788585712894
2 2 0.014106138965331
2 2 0.014160273950006
2 3 0.015455325796603
2 3 0.01580157669363
3 0 0.016219660476295
3 0 0.016454067650544
3 1 0.016057229149728
3 1 0.016226621122156
3 2 0.016098135353304
3 2 0.016217858750257
3 3 0.016062705835566
3 3 0.016218666083501
4 0 0.0083033650293813
4 0 0.014181386146415
4 1 0.014802315800483
4 1 0.015879142461959
4 2 0.014564029273153
4 2 0.015148460703888
4 3 0.014752548553821
4 3 0.015842507091573
5 0 0.015936353574668
5 0 0.01623337499267
5 1 0.015772081693946
5 1 0.016012442700781
5 2 0.015851161818619
5 2 0.016012581651397
5 3 0.015801212517448
5 3 0.015987478999893
