# eigenvalues
# kx ky  E
0 0 0.0080459388161989
0 0 0.014332064014781
0 1 0.015057775629919
0 1 0.015646090076764
0 2 0.014387463180472
0 2 0.015350293728483
0 3 0.015042098163598
0 3 0.015715570635503
1 0 0.016258360750985
1 0 0.016542616163461
1 1 0.016069491459705
1 1 0.016301762123089
1 2 0.015988186944799
1 2 0.016334729262845
1 3 0.016043285311765
1 3 0.016242917591194
2 0 0.0073585254228427
2 0 0.01576406151918
2 1 0.015502672214334
2 1 0.015792559070888
2 2 0.014180719825542
2 2 0.014227527022416
2 3 0.015466542669444
2 3 0.015804340384653
3 0 0.016208623370731
3 0 0.016436879640564
3 1 0.016045768266522
3 1 0.016221479152856
3 2 0.016100392628247
3 2 0.016218866969297
3 3 0.016050676164492
3 3 0.016210612797516
4 0 0.0082918367537429
4 0 0.014213327551137
4 1 0.014804445299966
4 1 0.015900302529344
4 2 0.014662616853778
4 2 0.015150354197767
4 3 0.014753443631411
4 3 0.015863045638884
5 0 0.015906372002531
5 0 0.016210417945796
5 1 0.015759104334831
5 1 0.01600199091576
5 2 0.015858054485626
5 2 0.016016893121368
5 3 0.015790766549055
5 3 0.015975042249645
