# eigenvalues
# kx ky  E
0 0 0.29516162744756
0 0 0.78300218676076
0 1 0.81039291728049
0 1 0.81857133673163
0 2 0.74768499559845
0 2 0.77471280679721
0 3 0.80782460256092
0 3 0.81726469645745
1 0 0.82262077367481
1 0 0.83342367001725
1 1 0.79199271137732
1 1 0.79455147192626
1 2 0.80080030335037
1 2 0.81289835000398
1 3 0.79085985841644
1 3 0.79315793561775
2 0 0.29119886072445
2 0 0.79357788255511
2 1 0.81412874967653
2 1 0.82408718751505
2 2 0.75611426327731
2 2 0.76773310705906
2 3 0.81388799031004
2 3 0.82088526638813
3 0 0.81897162378167
3 0 0.82996637053989
3 1 0.78962591943909
3 1 0.79257565515189
3 2 0.79640620342778
3 2 0.80852253277805
3 3 0.78778189330978
3 3 0.79578080155226
4 0 0.29900271697195
4 0 0.7698580834306
4 1 0.81246306536053
4 1 0.81454695076658
4 2 0.76981760676027
4 2 0.77323744347416
4 3 0.81047239843605
4 3 0.81987084528285
5 0 0.82329470802246
5 0 0.83209608176201
5 1 0.78852920595231
5 1 0.80810703584453
5 2 0.79640093539198
5 2 0.80864129509827
5 3 0.78919309513973
5 3 0.80305146125251
