Np,UCarea,t2,twist,aniso,gap
8,6,-0.25,1.0,1.0,16.021554463538997
8,6,-0.24,1.0,1.0,16.015697238397323
8,6,-0.23,1.0,1.0,16.0109483635854
8,6,-0.22,1.0,1.0,16.00733104821612
8,6,-0.21,1.0,1.0,16.00486723787076
8,6,-0.2,1.0,1.0,16.00357750220268
8,6,-0.19,1.0,1.0,16.003480922110082
8,6,-0.18,1.0,1.0,16.00459498971216
8,6,-0.17,1.0,1.0,16.00693548052032
8,6,-0.16,1.0,1.0,16.01051639196168
8,6,-0.15,1.0,1.0,16.01534984292324
8,6,-0.14,1.0,1.0,16.021445967972
8,6,-0.13,1.0,1.0,16.02881287912584
8,6,-0.12,1.0,1.0,16.037456577320878
8,6,-0.11,1.0,1.0,16.04738090614428
8,6,-0.1,1.0,1.0,16.05858750505692
8,6,-0.09,1.0,1.0,16.071075772549918
8,6,-0.08,1.0,1.0,16.08484284391536
8,6,-0.07,1.0,1.0,16.09988357222136
8,6,-0.06,1.0,1.0,16.11619052387364
8,6,-0.05,1.0,1.0,16.13375399374308
8,6,-0.04,1.0,1.0,16.152562030554
8,6,-0.03,1.0,1.0,16.1726003174232
8,6,-0.02,1.0,1.0,16.193852744822642
8,6,-0.01,1.0,1.0,16.216300111516922
8,6,0.0,1.0,1.0,16.239922323691317
8,24,-0.25,1.0,1.0,21.23356363890451
8,24,-0.24,1.0,1.0,21.132004514964482
8,24,-0.23,1.0,1.0,21.031036704326596
8,24,-0.22,1.0,1.0,20.930601668350462
8,24,-0.21,1.0,1.0,20.830639824752254
8,24,-0.2,1.0,1.0,20.73108535938605
8,24,-0.19,1.0,1.0,20.631873330463677
8,24,-0.18,1.0,1.0,20.53293449266944
8,24,-0.17,1.0,1.0,20.43419744258957
8,24,-0.16,1.0,1.0,20.335587300441215
8,24,-0.15,1.0,1.0,20.23702864588685
8,24,-0.14,1.0,1.0,20.13844365226944
8,24,-0.13,1.0,1.0,20.039751890708544
8,24,-0.12,1.0,1.0,19.9408712418743
8,24,-0.11,1.0,1.0,19.841717477483712
8,24,-0.1,1.0,1.0,19.74220348968288
8,24,-0.09,1.0,1.0,19.64223957427776
8,24,-0.08,1.0,1.0,19.541731110051458
8,24,-0.07,1.0,1.0,19.44057947007168
8,24,-0.06,1.0,1.0,19.33867882810771
8,24,-0.05,1.0,1.0,19.23591552638803
8,24,-0.04,1.0,1.0,19.132165078812864
8,24,-0.03,1.0,1.0,19.02728992180205
8,24,-0.02,1.0,1.0,18.921136375214783
8,24,-0.01,1.0,1.0,18.81353161057824
8,24,0.0,1.0,1.0,18.646507607507715
8,54,-0.25,1.0,1.0,21.603506785587896
8,54,-0.24,1.0,1.0,21.44689094928909
8,54,-0.23,1.0,1.0,21.289612036404293
8,54,-0.22,1.0,1.0,21.131581787424885
8,54,-0.21,1.0,1.0,20.972709370168886
8,54,-0.2,1.0,1.0,20.812903392066758
8,54,-0.19,1.0,1.0,20.652068415900086
8,54,-0.18,1.0,1.0,20.490111234214762
8,54,-0.17,1.0,1.0,20.326935116722193
8,54,-0.16,1.0,1.0,20.162443495143567
8,54,-0.15,1.0,1.0,19.99653893629199
8,54,-0.14,1.0,1.0,19.829123854302903
8,54,-0.13,1.0,1.0,19.660100366572294
8,54,-0.12,1.0,1.0,19.48936994951125
8,54,-0.11,1.0,1.0,19.316833628656585
8,54,-0.1,1.0,1.0,19.142389703757843
8,54,-0.09,1.0,1.0,18.965936747259555
8,54,-0.08,1.0,1.0,18.787368324913878
8,54,-0.07,1.0,1.0,18.606573491714276
8,54,-0.06,1.0,1.0,18.423434103534895
8,54,-0.05,1.0,1.0,18.237822125395102
8,54,-0.04,1.0,1.0,18.049596679167266
8,54,-0.03,1.0,1.0,17.858600443393048
8,54,-0.02,1.0,1.0,17.658440234459732
8,54,-0.01,1.0,1.0,17.418452974076402
8,54,0.0,1.0,1.0,17.17198303736618
8,96,-0.25,1.0,1.0,21.355172712646965
8,96,-0.24,1.0,1.0,21.17746256525476
8,96,-0.23,1.0,1.0,20.996126206597328
8,96,-0.22,1.0,1.0,20.811020648325115
8,96,-0.21,1.0,1.0,20.622003934102736
8,96,-0.2,1.0,1.0,20.428936145521458
8,96,-0.19,1.0,1.0,20.231682582946405
8,96,-0.18,1.0,1.0,20.030111601301094
8,96,-0.17,1.0,1.0,19.824101425127118
8,96,-0.16,1.0,1.0,19.613539143480732
8,96,-0.15,1.0,1.0,19.398323876804813
8,96,-0.14,1.0,1.0,19.178371394443467
8,96,-0.13,1.0,1.0,18.95361787957248
8,96,-0.12,1.0,1.0,18.72402106955766
8,96,-0.11,1.0,1.0,18.48957254707968
8,96,-0.1,1.0,1.0,18.250293161794865
8,96,-0.09,1.0,1.0,18.006250882792553
8,96,-0.08,1.0,1.0,17.757558827835496
8,96,-0.07,1.0,1.0,17.504385141885233
8,96,-0.06,1.0,1.0,17.246962665075
8,96,-0.05,1.0,1.0,16.985591827999944
8,96,-0.04,1.0,1.0,16.71546597484216
8,96,-0.03,1.0,1.0,16.423744509824715
8,96,-0.02,1.0,1.0,16.12601052652616
8,96,-0.01,1.0,1.0,15.822528758933302
8,96,0.0,1.0,1.0,15.513640838609817
