# eigenvalues
# kx ky  E
0 0 -15.49526191652
0 0 -15.482690555714
0 1 -15.482614211831
0 1 -15.482494908314
0 2 -15.482550965749
0 2 -15.479537773001
0 3 -15.482614211539
0 3 -15.482494908786
1 0 -15.482614211809
1 0 -15.482494908826
1 1 -15.482634176641
1 1 -15.482513353476
1 2 -15.482677637003
1 2 -15.480718210373
1 3 -15.482634176702
1 3 -15.482513353151
2 0 -15.482550965713
2 0 -15.479537771755
2 1 -15.48267763712
2 1 -15.48071821096
2 2 -15.482376544427
2 2 -15.473107689638
2 3 -15.482677637162
2 3 -15.480718210532
3 0 -15.482614018022
3 0 -15.482492921573
3 1 -15.482634176645
3 1 -15.482513353689
3 2 -15.482677636867
3 2 -15.480718210191
3 3 -15.482634176696
3 3 -15.482513353164
