# eigenvalues
# kx ky  E
0 0 -15.692716653539
0 0 -15.685210530403
0 1 -15.685134047099
0 1 -15.685096961106
0 2 -15.685076658657
0 2 -15.683807062494
0 3 -15.685134046489
0 3 -15.685096961679
1 0 -15.685009959109
1 0 -15.684993884285
1 1 -15.685112466971
1 1 -15.685001415687
1 2 -15.685124907587
1 2 -15.684251067777
1 3 -15.6851124036
1 3 -15.684980416536
2 0 -15.684999747345
2 0 -15.682543657334
2 1 -15.685079925529
2 1 -15.683614930023
2 2 -15.68494188857
2 2 -15.679423293329
2 3 -15.685079925525
2 3 -15.683614930134
3 0 -15.685009959706
3 0 -15.684993883933
3 1 -15.685112467006
3 1 -15.685001415217
3 2 -15.685124907603
3 2 -15.684251067813
3 3 -15.685112466957
3 3 -15.685001416041
