Np,UCarea,t2,aniso,twist,gap
8,9,-0.25,1.0,0,0.00028137936599925695
8,9,-0.24,1.0,0,0.00024301062899567683
8,9,-0.23,1.0,0,0.00020879857799549484
8,9,-0.22,1.0,0,0.00017839044898870782
8,9,-0.21,1.0,0,0.00015153784198673748
8,9,-0.2,1.0,0,0.00012793216500561755
8,9,-0.19,1.0,0,0.00010733289300546289
8,9,-0.18,1.0,0,8.946024298950306e-05
8,9,-0.17,1.0,0,7.407882000620702e-05
8,9,-0.16,1.0,0,6.090907501565823e-05
8,9,-0.15,1.0,0,4.9745213996033044e-05
8,9,-0.14,1.0,0,4.037116500299476e-05
8,9,-0.13,1.0,0,3.255639300547841e-05
8,9,-0.12,1.0,0,2.6142309005550146e-05
8,9,-0.11,1.0,0,2.0895579011082077e-05
8,9,-0.1,1.0,0,1.669923899960679e-05
8,9,-0.09,1.0,0,1.3392440996184973e-05
8,9,-0.08,1.0,0,1.0827845995819985e-05
8,9,-0.07,1.0,0,8.878031989567603e-06
8,9,-0.06,1.0,0,7.444133997225322e-06
8,9,-0.05,1.0,0,6.429780004424401e-06
8,9,-0.04,1.0,0,5.732243991474206e-06
8,9,-0.03,1.0,0,5.281101012499789e-06
8,9,-0.02,1.0,0,5.012316002250827e-06
8,9,-0.01,1.0,0,4.8661650069448115e-06
8,9,0.0,1.0,0,4.824530998703835e-06
8,16,-0.25,1.0,0,0.6101993798879732
8,16,-0.24,1.0,0,0.6100953148159931
8,16,-0.23,1.0,0,0.6098752416640139
8,16,-0.22,1.0,0,0.6096928030239894
8,16,-0.21,1.0,0,0.609551816687997
8,16,-0.2,1.0,0,0.6094518483679963
8,16,-0.19,1.0,0,0.6093920937439918
8,16,-0.18,1.0,0,0.6093737692640104
8,16,-0.17,1.0,0,0.609396601215991
8,16,-0.16,1.0,0,0.6094606138399854
8,16,-0.15,1.0,0,0.609565787263989
8,16,-0.14,1.0,0,0.6097119946880127
8,16,-0.13,1.0,0,0.6098990204320103
8,16,-0.12,1.0,0,0.6101265355839871
8,16,-0.11,1.0,0,0.6103941403360125
8,16,-0.1,1.0,0,0.6107012555200129
8,16,-0.09,1.0,0,0.611047190560015
