# eigenvalues
# kx ky  E
0 0 -14.50505021694
0 0 -14.466568613295
0 1 -14.466320534253
0 1 -14.465907736234
0 2 -14.466142045289
0 2 -14.456678533815
0 3 -14.466320534271
0 3 -14.465907736244
1 0 -14.466320534198
1 0 -14.465907736025
1 1 -14.466361699027
1 1 -14.465994533409
1 2 -14.466570503595
1 2 -14.460604167475
1 3 -14.466361698744
1 3 -14.465994533795
2 0 -14.466142045278
2 0 -14.456678533935
2 1 -14.466570503639
2 1 -14.460604167499
2 2 -14.4658276225
2 2 -14.437280843443
2 3 -14.466570503657
2 3 -14.460604167285
3 0 -14.466320534254
3 0 -14.465907736537
3 1 -14.46636169887
3 1 -14.465994533709
3 2 -14.466570503722
3 2 -14.460604167258
3 3 -14.466361699015
3 3 -14.465994533828
