# eigenvalues
# kx ky  E
0 0 -15.692717216747
0 0 -15.685142035742
0 1 -15.685086625939
0 1 -15.685038597212
0 2 -15.685039961712
0 2 -15.683389783122
0 3 -15.68508662702
0 3 -15.685038596956
1 0 -15.685046903599
1 0 -15.684988585811
1 1 -15.685095246782
1 1 -15.685057285154
1 2 -15.685109072811
1 2 -15.684010832688
1 3 -15.685095246644
1 3 -15.685057284758
2 0 -15.685016976643
2 0 -15.683026925924
2 1 -15.685097036594
2 1 -15.683825831161
2 2 -15.684918352666
2 2 -15.679320966215
2 3 -15.685097036703
2 3 -15.683825831566
3 0 -15.685046903563
3 0 -15.6849885857
3 1 -15.685095246511
3 1 -15.68505728505
3 2 -15.685109072623
3 2 -15.684010832661
3 3 -15.685095245818
3 3 -15.685057285825
