#N	N_s	Nx	Ny	p	q	sgn	X	Y	x	y	
9	27	27	27	7	27	-1	27	1	1	27
9	27	45	45	19	75	-1	15	5	3	9
9	27	63	63	37	147	-1	21	7	3	9
9	27	81	81	61	243	-1	81	3	1	27
9	27	99	99	91	363	-1	33	11	3	9
9	27	117	117	127	507	-1	39	13	3	9
9	27	135	135	169	675	-1	135	5	1	27
9	27	153	153	217	867	-1	51	17	3	9
9	27	171	171	271	1083	-1	57	19	3	9
9	27	189	189	331	1323	-1	189	7	1	27
9	27	207	207	397	1587	-1	69	23	3	9
9	27	225	225	469	1875	-1	75	25	3	9
9	27	241	243	542	2169	1	241	9	1	27
9	27	243	243	547	2187	-1	243	9	1	27
9	27	245	243	551	2205	1	245	9	1	27
9	27	261	261	631	2523	-1	87	29	3	9
9	27	279	279	721	2883	-1	93	31	3	9
9	27	295	297	811	3245	1	295	11	1	27
9	27	297	297	817	3267	-1	297	11	1	27
9	27	299	297	822	3289	1	299	11	1	27
9	27	315	315	919	3675	-1	105	35	3	9
