# eigenvalues
# kx ky  E
0 0 -12.719392026037
0 0 -12.719391668396
0 0 -12.719356188251
0 0 -12.719356188037
0 1 -12.719391782228
0 26 -12.719391782228
0 1 -12.719391782175
0 26 -12.719391782175
0 1 -12.719356188212
0 26 -12.719356188212
0 1 -12.719355528922
0 26 -12.719355528922
0 2 -12.719391837225
0 25 -12.719391837225
0 2 -12.719391837217
0 25 -12.719391837217
0 2 -12.719355558479
0 25 -12.719355558479
0 2 -12.719355548862
0 25 -12.719355548862
0 3 -12.719391794506
0 24 -12.719391794506
0 3 -12.719391794493
0 24 -12.719391794493
0 3 -12.719355555919
0 24 -12.719355555919
0 3 -12.71935553203
0 24 -12.71935553203
0 4 -12.71939181581
0 23 -12.71939181581
0 4 -12.719391815767
0 23 -12.719391815767
0 4 -12.719355532809
0 23 -12.719355532809
0 4 -12.719355526424
0 23 -12.719355526424
0 5 -12.71939181581
0 22 -12.71939181581
0 5 -12.719391815778
0 22 -12.719391815778
0 5 -12.719355551499
0 22 -12.719355551499
0 5 -12.719355524243
0 22 -12.719355524243
0 6 -12.719391794504
0 21 -12.719391794504
0 6 -12.719391794421
0 21 -12.719391794421
0 6 -12.719355542865
0 21 -12.719355542865
0 6 -12.719355527218
0 21 -12.719355527218
0 7 -12.719391837226
0 20 -12.719391837226
0 7 -12.719391837128
0 20 -12.719391837128
0 7 -12.719355561341
0 20 -12.719355561341
0 7 -12.719355540189
0 20 -12.719355540189
0 8 -12.719391782227
0 19 -12.719391782227
0 8 -12.719391781952
0 19 -12.719391781952
0 8 -12.719356188232
0 19 -12.719356188232
0 8 -12.719355528959
0 19 -12.719355528959
0 9 -12.719392026037
0 18 -12.719392026037
0 9 -12.719391668425
0 18 -12.719391668425
0 9 -12.719356188181
0 18 -12.719356188181
0 9 -12.719356188157
0 18 -12.719356188157
0 10 -12.719391782228
0 17 -12.719391782228
0 10 -12.719391782188
0 17 -12.719391782188
0 10 -12.719356166952
0 17 -12.719356166952
0 10 -12.719355541449
0 17 -12.719355541449
0 11 -12.719391837225
0 16 -12.719391837225
0 11 -12.719391837209
0 16 -12.719391837209
0 11 -12.719355550735
0 16 -12.719355550735
0 11 -12.719355537496
0 16 -12.719355537496
0 12 -12.719391794504
0 15 -12.719391794504
0 12 -12.719391794498
0 15 -12.719391794498
0 12 -12.719355551297
0 15 -12.719355551297
0 12 -12.71935553766
0 15 -12.71935553766
0 13 -12.719391815811
0 14 -12.719391815811
0 13 -12.719391815751
0 14 -12.719391815751
0 13 -12.71935554105
0 14 -12.71935554105
0 13 -12.719355532554
0 14 -12.719355532554
