# eigenvalues
# kx ky  E
0 0 -12.721070582708
0 0 -12.721070468857
0 0 -12.721033816109
0 0 -12.721033815896
0 1 -12.721070519109
0 1 -12.721070518999
0 1 -12.721033826563
0 1 -12.721032313764
0 2 -12.72107052453
0 2 -12.721070524498
0 2 -12.721032281367
0 2 -12.721032279609
0 3 -12.721070520087
0 3 -12.721070520058
0 3 -12.72103231753
0 3 -12.721032295286
0 4 -12.721070522364
0 4 -12.721070522333
0 4 -12.721032304758
0 4 -12.721032304431
0 5 -12.721070522365
0 5 -12.721070522352
0 5 -12.721032311054
0 5 -12.721032306088
0 6 -12.721070520087
0 6 -12.721070520069
0 6 -12.721032305931
0 6 -12.721032290306
0 7 -12.721070524529
0 7 -12.721070524366
0 7 -12.721032278886
0 7 -12.721032270531
0 8 -12.72107051911
0 8 -12.721070518966
0 8 -12.721033826452
0 8 -12.721032313703
0 9 -12.721070582706
0 9 -12.721070468976
0 9 -12.721033816038
0 9 -12.721033816038
0 10 -12.72107051911
0 10 -12.721070519038
0 10 -12.72103382662
0 10 -12.721032313768
0 11 -12.721070524528
0 11 -12.7210705245
0 11 -12.721032285722
0 11 -12.721032270773
0 12 -12.721070520087
0 12 -12.721070520043
0 12 -12.721032321186
0 12 -12.721032314438
0 13 -12.721070522364
0 13 -12.72107052234
0 13 -12.721032308173
0 13 -12.721032305873
