Np,UCarea,t2,aniso,twist,gap
8,9,-0.25,1.0,0.0,0.00020946732850889854
8,9,-0.24,1.0,0.0,0.0001755669984003002
8,9,-0.23,1.0,0.0,0.0001456456375520986
8,9,-0.22,1.0,0.0,0.00011940938209799822
8,9,-0.21,1.0,0.0,9.656981369730042e-05
8,9,-0.2,1.0,0.0,7.684512878610317e-05
8,9,-0.19,1.0,0.0,5.996131935930059e-05
8,9,-0.18,1.0,0.0,4.565335956840293e-05
8,9,-0.17,1.0,0.0,3.366649633050004e-05
8,9,-0.16,1.0,0.0,2.375788290660038e-05
8,9,-0.15,1.0,0.0,1.5699512409298247e-05
8,9,-0.14,1.0,0.0,9.286837926298936e-06
8,9,-0.13,1.0,0.0,4.386715169398415e-06
8,9,-0.12,1.0,0.0,1.6065646613987183e-06
8,9,-0.11,1.0,0.0,3.026766398400195e-06
8,9,-0.1,1.0,0.0,4.800301723799057e-06
8,9,-0.09,1.0,0.0,5.987115179999485e-06
8,9,-0.08,1.0,0.0,6.636177904500128e-06
8,9,-0.07,1.0,0.0,6.8532521516986335e-06
8,9,-0.06,1.0,0.0,6.7431994955991035e-06
8,9,-0.05,1.0,0.0,6.401433878998981e-06
8,9,-0.04,1.0,0.0,5.912263818899947e-06
8,9,-0.03,1.0,0.0,5.3488174581010645e-06
8,9,-0.02,1.0,0.0,4.773263846399173e-06
8,9,-0.01,1.0,0.0,4.236578637299227e-06
8,9,0.0,1.0,0.0,3.777131188800655e-06
8,16,-0.25,1.0,0.0,0.6101993761092619
8,16,-0.24,1.0,0.0,0.6100952944759209
8,16,-0.23,1.0,0.0,0.609873906580404
8,16,-0.22,1.0,0.0,0.6096926027800625
8,16,-0.21,1.0,0.0,0.6095516925572247
8,16,-0.2,1.0,0.0,0.6094514431278211
8,16,-0.19,1.0,0.0,0.609392074025966
8,16,-0.18,1.0,0.0,0.609373751071395
8,16,-0.17,1.0,0.0,0.6093965797249128
8,16,-0.16,1.0,0.0,0.6094605982524903
8,16,-0.15,1.0,0.0,0.6095657696278335
8,16,-0.14,1.0,0.0,0.6097119732061038
8,16,-0.13,1.0,0.0,0.6098989956342484
8,16,-0.12,1.0,0.0,0.6101265205296386
8,16,-0.11,1.0,0.0,0.6103941180254994
8,16,-0.1,1.0,0.0,0.6107012328548435
8,16,-0.09,1.0,0.0,0.6110471716213528
8,16,-0.08,1.0,0.0,0.6114310893919327
8,16,-0.07,1.0,0.0,0.6118519749270256
8,16,-0.06,1.0,0.0,0.6123086349458051
8,16,-0.05,1.0,0.0,0.6127996773252476
8,16,-0.04,1.0,0.0,0.6133234934045994
8,16,-0.03,1.0,0.0,0.6138782387304056
8,16,-0.02,1.0,0.0,0.614461813072249
8,16,-0.01,1.0,0.0,0.6150718392910967
8,16,0.0,1.0,0.0,0.6156754112503272
8,25,-0.25,1.0,0.0,2.7833248536892133e-12
8,25,-0.24,1.0,0.0,1.5495498764325766e-12
8,25,-0.23,1.0,0.0,9.847750734445423e-13
8,25,-0.22,1.0,0.0,2.826501511142554e-13
8,25,-0.21,1.0,0.0,0.6075352165260286
8,25,-0.2,1.0,0.0,1.7049993957917592e-13
8,25,-0.19,1.0,0.0,2.644501235831917e-13
8,25,-0.18,1.0,0.0,2.163501718272301e-13
8,25,-0.17,1.0,0.0,2.055748962986187e-13
8,25,-0.16,1.0,0.0,3.2697504643089403e-13
8,25,-0.15,1.0,0.0,2.0235007246183212e-13
8,25,-0.14,1.0,0.0,1.332498022511841e-13
8,25,-0.13,1.0,0.0,3.0497489028526864e-13
8,25,-0.12,1.0,0.0,7.012484126364682e-14
8,25,-0.11,1.0,0.0,5.242490198464206e-14
8,25,-0.1,1.0,0.0,3.9929997107173917e-13
8,25,-0.09,1.0,0.0,8.410003786039552e-14
8,25,-0.08,1.0,0.0,0.6108418559901139
8,25,-0.07,1.0,0.0,0.6113606087419382
8,25,-0.06,1.0,0.0,0.6119143411802153
8,25,-0.05,1.0,0.0,0.6125017101299283
8,25,-0.04,1.0,0.0,0.613121092172242
8,25,-0.03,1.0,0.0,0.6137705513981359
8,25,-0.02,1.0,0.0,0.6144478041794765
8,25,-0.01,1.0,0.0,0.6151501815506876
8,25,0.0,1.0,0.0,0.6158745885200317
8,36,-0.25,1.0,0.0,7.379637443973865e-09
8,36,-0.24,1.0,0.0,5.978422296034095e-09
8,36,-0.23,1.0,0.0,4.80932675995594e-09
8,36,-0.22,1.0,0.0,3.839704344028253e-09
8,36,-0.21,1.0,0.0,3.0409446600225673e-09
8,36,-0.2,1.0,0.0,2.3880947760062483e-09
8,36,-0.19,1.0,0.0,1.8584474040250504e-09
8,36,-0.18,1.0,0.0,1.4321643479296839e-09
8,36,-0.17,1.0,0.0,1.0925303759823455e-09
8,36,-0.16,1.0,0.0,8.24159627994597e-10
8,36,-0.15,1.0,0.0,6.14353463975338e-10
8,36,-0.14,1.0,0.0,4.521191399780092e-10
8,36,-0.13,1.0,0.0,3.2804564411583435e-10
8,36,-0.12,1.0,0.0,2.344895641185176e-10
8,36,-0.11,1.0,0.0,1.6488867595528672e-10
8,36,-0.1,1.0,0.0,1.1400220806430383e-10
8,36,-0.09,1.0,0.0,7.699057199877981e-11
8,36,-0.08,1.0,0.0,5.107885196352271e-11
8,36,-0.07,1.0,0.0,3.303432003041052e-11
8,36,-0.06,1.0,0.0,2.0759615950100355e-11
8,36,-0.05,1.0,0.0,1.2831228023450422e-11
8,36,-0.04,1.0,0.0,7.317252028902696e-12
8,36,-0.03,1.0,0.0,4.2177960343087184e-12
8,36,-0.02,1.0,0.0,2.2428359828532106e-12
8,36,-0.01,1.0,0.0,1.2329280052957546e-12
8,36,0.0,1.0,0.0,0.6159538018457207
8,49,-0.25,1.0,0.0,0.6061156038801078
8,49,-0.24,1.0,0.0,0.60606561794676
8,49,-0.23,1.0,0.0,0.6060503005275177
8,49,-0.22,1.0,0.0,0.6060703096806833
8,49,-0.21,1.0,0.0,0.6061262822779029
8,49,-0.2,1.0,0.0,0.6062188284813359
8,49,-0.19,1.0,0.0,0.6063485252745773
8,49,-0.18,1.0,0.0,0.606515909035906
8,49,-0.17,1.0,0.0,0.6067214671738654
8,49,-0.16,1.0,0.0,0.606965628454755
8,49,-0.15,1.0,0.0,0.6072487521406975
8,49,-0.14,1.0,0.0,0.6075711153893878
